indexid,USER,AGENT,Persuasion Strategy,,
133,Thanks,You are most welcome. Thanks for buying from us. ,3,,
134,134,134,,,
134,"Hello, I am looking to buy a laptop for my daily use.","Hello, May I know your specification requirements?",0,,
134,"It should have 8 GB RAM and Windows OS. My friend has this laptop, and I like it. https://www. laptopmain.com/wp-content/uploads/2018/05/Dell-G7-7588-Review-1.jpg","It is a Dell laptop. Here is Dell G7 laptop with 8 GB RAM, Windows OS, and White colour. ",3,,
134,"Great, what is its price?",It will cost you 1779 EUR. ,3,,
134,"Oh, it is pretty expensive.",It comes with Nvidia 1060 Max Q 6 GB GPU. It can handle daily use easily. ,3,,
134,"But, I don't want to spend this much money. Can you show the same model but with 4 GB RAM?",This unit comes with a fast 8 GB RAM. This model has a stunning 1920x1080 resolution Display. ,3,,
134,Do you have white laptops from different brands in a price range of 700-900 EUR?,"Here is the HP ENVY laptop - 17t-cg100. It is white, and it will cost you just 799 EUR. ",3,,
134,What about its other features,It has powerful AMD Radeon™ Graphics. The laptop has a four-star rating. ,3,,
134,Do you have a discount on these laptops?,The prices offered are discounted. The laptop is preferred for daily use. ,3,,
134,I will wait till the next price drop.,Is there anything else I could assist you with?,3,,
134,"No, Thanks.",You are welcome. ,3,,
135,135,135,,,
135,"Good Evening, can you help us to buy a smartphone? We want to buy it for our teacher.","Sure, what kind of phone are you looking for?",0,,
135,It should be 32 GB.,"Yes, we have many phones with such specifications, do you have any other requirements?",0,,
135,I trust only Asus Brand. Can you show me some from Asus?,"Yes, See Zenfone Max ZC550KL (2016), a 32 GB Internal RAM",3,,
135,What is its colour?,available in colour Black. ,3,,
135,I want sapphire black colour,"Then it would be best if you bought the Zenfone 3 ZE552KL, 32 GB by Asus, which is available in Sapphire black. It matches your requirements. ",3,,
135,What are its other features?,"It contains 3000 mAh, 3 GB ram",3,,
135,Ram is less. please see 4 GB ram phone.,"Then you go for Zenfone Zoom ZX551ML by ASUS brand, 32 GB, 3000mAh battery. ",3,,
135,What is its price?,Its price is only 500 EUR. ,3,,
135,"Wow, it's expensive.","Yes, it has a good quality camera, 13 primary camera and five secondary camera, 4 GB RAM, 3000mAh battery. ",3,,
135,"Okay, it will do the job. Can you please do the billing? And please give some discount.","Yes, it is discounted price. ",3,,
135,"Okay, then, please proceed with billing.","excellent, it has been booked for you with ref no",3,,
135,Thank you.,You are most welcome. Thanks for buying from us. ,3,,
136,136,136,,,
136,"Hey there, I saw one phone at my cousin's house. I immediately fell in love with it. Can you assist me with its details?","Hello. Sure, I am here to assist you. Can you describe it?",0,,
136,"Not much, but I know it is a Canon brand. And I captured its picture. It looks like this:https://tse2. Explicit. bing. net/th?id=OIP.pFq3U_YiqyCdsRck5uwDYAHaJe&pid=Api&P=0&w=300&h=300","Oh, it is a Zenfone 2 Deluxe ZE551ML. It comes in white colour. ",3,,
136,"Oh, thanks. In what is its storage?","It comes in 4 GB RAM, 64 RAM Internal storage. ",3,,
136,Can you assist me in buying it?,"Sure, I am happy to help you. ",3,,
136,What are the specifications?,"It comes in the dual sim, 13 primary camera, and five secondary camera,",3,,
136,How much will it cost me?,This device will cost you 500 EUR. ,3,,
136,Does it come at a low price also?,"We have Pegasus 2 Plus by ASUS Brand, which is 300 EUR. ",3,,
136,"No thanks, then I want my first one, Zenfone 2 Deluxe ZE551ML","Excellent choice, it is a beautiful one. ",3,,
136,"Thanks, can you also assist me in buying a laptop?","Yes, I can. May I know what type of laptop you want to buy?",3,,
136,I need an Intel Core i5-8250U,We have plenty of choices. May I know what specifications you need?,3,,
136,display size should be at least 13,"Okay, Do you have any brand specifications?",3,,
136,"I have used Huawei before. They were pretty good. So, I will go again with Huawei.",Here is model MateBook X Pro. It has all you have asked for. ,3,,
136,What is its price?,It will cost you 5999 EUR. ,3,,
136,It is a bit expensive.,"This has NVIDIA GeForce MX150 (2 GB) graphic card, and so it looks stunning, which is very popular. ",3,,
136,"Fine then, please initiate booking for both products.","Sure, here is your booking id- 3468705",3,,
136,Thanks for assisting.,You are welcome. ,3,,
137,137,137,,,
137,"Good Evening, can you help me buy a tablet?","Sure, what kind of phone are you looking for?",0,,
137,It should have a good storage capacity.,"Yes, we have many phones with such specifications, do you have any other requirements?",0,,
137,I trust only Dell Brand. Can you show me some from Dell?,"Yes, See Venue 10 7000, which is a 32 GB Internal RAM in black colour. ",1,,
137,"I want silver colour,","Then you should buy the Venue 8 7000 by Dell, but it has 16 GB of internal storage. ",1,,
137,then 1st one is perfect. What are those features?,"It contains 7000 mAh, 2 GB ram. ",1,,
137,"That is great, but it has 2 GB Ram. Is it a good phone?","Yes, Dell is a most trustworthy brand, and it has eight primary camera and two secondary camera. ",1,,
137,What is its price?,Its price is only 460 EUR. ,1,,
137,"Okay, it will do the job. Can you please do the billing? And please give some discount.","Yes, it is discounted price. ",1,,
137,"Okay, then, please proceed with billing.","Excellent, it has been booked for you with ref no. - 8978**wetrert. ",1,,
137,Thank you.,You are most welcome. Thanks for buying from us. ,1,,
138,138,138,,,
138,"Hello, I want a laptop?","Hello, May I know what your requirements are?",0,,
138,"I am a software engineer, and I am looking for one to do software engineering.","Okay, how much disk space do you want it to have?",0,,
138,"Aah, it must have a 1TB HDD.","Understood, do you want it to have a GPU also?",0,,
138,"GPU is not my main priority, but it should have an Intel processor.",Do you have any more preferences? Like battery or Display size or colour?,3,,
138,"Yes, it should be a 15- inch Display size.","All right, here is a 15-db0001nx from HP.15.6- inch Display. This model is powerful, and you can do your task smoothly. ",3,,
138,What will it cost me?,It will cost you 1999 EUR for this powerful machine. ,3,,
138,Is it a good laptop?,"Yes, HP is the most trustworthy brand. This laptop is a perfect machine for your task. ",3,,
138,"Okay, do you also sell camera?","Yes, we sell camera. May I know your requirements?",3,,
138,I require a Compact format camera for under 600 EUR.,Do you want it to have other features in it? Like brand or Connectivity?,3,,
138,"No, but it should have an Optical viewfinder.",Understood. Here is Nikon CoolPix 800 by Nikon. It has a compact format and Optical Viewfinder for 599 EUR only. ,3,,
138,How much does it weigh?,It weighs 360g. It is light enough to carry and shoot for hours. ,3,,
138,"Alright, I would buy it then. Please proceed with billing.","Sure, shall I proceed with billing for model- LX from Dell and Nikon CoolPix 800?",3,,
138,"No, I will buy just the camera.","Okay, I am proceeding with billing for Nikon CoolPix 800. Billing Done. ",3,,
138,Thank you.,You are welcome. ,3,,
139,139,139,,,
139,I am looking for a camera from the Fujifilm brand.,Hello. Can you tell me which specification do you want?,0,,
139,I want max resolution above 1400,Anything do you need to add to your specification. ,3,,
139,It should be released after the 2000 year,Look Fujifilm FinePix 2650 with 1600 max resolution. ,3,,
139,what it is macro focus range is?,It has eight macro and 80 normal focus range. ,3,,
139,Please tell me about its features.,"It has storage of 16 GB, zoom wide 38, and zoom tele 114",3,,
139,When was it released?,"it released in 2002, but still, it is pretty famous. ",3,,
139,I want a low-weight of camera.,"Yes, it is 235 in weight, including the camera. ",3,,
139,What is its price?,It is available in 169. ,3,,
139,Please book it for me.,"Yes, sure, I will book it for you. Thank you. Do you need anything else?",3,,
139,"No, thank you.",Thank you for shopping. ,3,,
140,140,140,,,
140,Good Evening. Can you help me buying a smartphone?,"Good Evening, what kind of phone are you looking for?",5,,
140,It should be 64 GB.,"Yes, we have many phones with such specifications, do you have any other requirements?",5,,
140,I trust only Gionee Brand. Can you show me some from Gionee?,"Yes, See S10, which is a 64 GB Internal RAM, Cherry Gold in colour. ",5,,
140,What is its Battery capacity?,It has a 4550 mAh battery capacity. ,5,,
140,I want Gray colour,Then you should buy the A1 Plus it also has the same features. ,5,,
140,what about its RAM.,It has 4 GB ram,5,,
140,Is it a good phone?,"Yes, Gionee is the most trustworthy brand, and it has a dual primary camera and 20 secondary camera. ",5,,
140,What is its price?,Its price is only 370 EUR. ,5,,
140,"Okay, it will do the job. Can you please do the billing? And please give some discount.","Yes, it is discounted price. ",5,,
140,"Okay, then, please proceed with billing.","excellent, it has been booked for you with ref no. -2456**hkjhk. ",5,,
140,Thank you,You are most welcome. Thanks for buying from us. ,5,,
141,141,141,,,
141,"Hello, good morning. I am a game designer, and I want to buy a laptop with the best graphics card.",Good morning. I will assist you to buy a laptop can tell me what specification do you want. ,3,,
141,"Yes, I want an i7 processor with at least 13 display sizes.","I would suggest you Radeon Pro 555X GDDR5 (4 GB) graphic design with Intel Core i7 6 Core processor, 15.4 display size. ",3,,
141,"Oh, That is great. what is its price?",it is 10199 EUR,3,,
141,Wow-what a costly product don't you have any discount,"Yes, after the discount it is 9099 EUR. ",3,,
141,"But still, it cost me a lot can you please show me the same features but low price.","Okay, here is Pavilion 14-ce0000nx with NVIDIA GeForce MX150 (4 GB) processor, 256 GB M.2 SSD/1TB HDD disk space. ",3,,
141,Is it a good laptop and what is its price?,"Yes, it has 5 out of 5 ratings, and the price is 4199, after the discount, it is 3599. ",3,,
141,"Great, please book it for me.","Okay, I will book it for me do you need anything else. ",3,,
141,"Okay, do you also sell camera?","Yes, we sell camera. May I know your requirements?",3,,
141,I require a Compact format camera for under 400 EUR.,Do you want it to have other features in it? Like brand or Connectivity?,3,,
141,"No, but it should be above 2000 max resolution.",Understood. Here is Canon PowerShot S50 with a 399 price. ,3,,
141,How much does it weigh?,"It weighs 322g, including a battery. It is light enough to carry and shoot for hours. ",3,,
141,"Alright, I would buy it then. Please proceed with billing.","Sure, shall I proceed with billing for model-Pavilion 14-ce0000nx and Canon PowerShot S50?",3,,
141,"No,I will buy just the laptop.","Okay, I am proceeding with billing for Pavilion 14-ce0000nx. Billing Done. ",3,,
141,Thank you.,You are welcome. ,3,,
142,142,142,,,
142,"Hello, I want to buy a tablet. Please help me.",Good afternoon. I will help you. Please tell me what specification do you want?,0,,
142,I only trust the Apple brand.,We have many products on the apple brand. Please add other information. ,4,,
142,"I want 4 GB RAM, 64 internal RAM",We have iPad Pro 12.9. ,4,,
142,Which colour it has,It is a Space Gray colour. ,4,,
142,"Oh, I like this colour please tell me about its specification.","It has 0.00390625 RAM, 12 primary camera and seven secondary camera with an iOS Operating system. ",4,,
142,But it is RAM is very low,"Yeah, but it has 64 GB internal RAM. ",4,,
142,Can you show me its picture?,Here is the picture http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg,4,,
142,"Cool, But I want at least 4 GB RAM.","Then you should buy A1 Plus by Gionee brand secondary camera quality also good, 64 RAM, Gray colour. ",4,,
142,But I only want the apple brand.,It will be available after some days,4,,
142,"Okay, then I will wait for that product.","Okay, then do you need anything else. ",4,,
142,No thanks,"Thank you, please visit again. ",4,,
143,143,143,,,
143,"Hey there, I saw most of the people using this phone. Can you assist me with its details?","Hello. Sure, I am here to assist you. Can you describe it?",0,,
143,"Not much, but I know it is of Gionee brand. And I captured its picture. It looks like this: https://csmartphone.com/propic/gionee/w909/gionee-w909-desc7.jpg","Oh, Gionee W909 looks quite similar to this one. ",0,,
143,"Oh, thanks. In what display sizes does it come?",It comes in 350 display sizes. ,3,,
143,Can you assist me in buying it?,"Yes, I can assist you for that as well. ",3,,
143,What are the specifications?,It has a 2530 mAh battery and Bluetooth. ,3,,
143,How much will it cost me?,This device will cost you 550 EUR. ,3,,
143,Does it come in other colours also?,It comes in Rose gold. ,3,,
143,I want to take it.,"Excellent choice, the Rose gold colour looks beautiful on it. ",3,,
143,"Thanks, can you also assist me in buying a camera?","Yes, I can. May I know what type of camera you want to buy?",3,,
143,I need a DSLR camera.,We have plenty of DSLR camera. May I know what specifications you need?,3,,
143,It should be a compact format camera with an optical viewfinder.,"Okay, Do you have any brand specifications?",3,,
143,"I have used Nikon camera before. They were pretty good. So, I will go again with Nikon.",Here is model DDS from Nikon. It has all you have asked for. ,3,,
143,What is its price?,It will cost you 600 EUR. ,3,,
143,It is a bit expensive.,The secondary camera has a 4.5-star rating. It is prevalent for photography. ,3,,
143,"Fine then, please initiate booking for both products.","Sure, here is your booking id- 3831988",3,,
143,Thanks for assisting.,You are welcome. ,3,,
144,144,144,,,
144,I am want to look for a phone of Oppo brand.,Hello. Can you tell me the specification you would like?,4,,
144,I want at least 4000 mAh battery.,"Okay, do you have any more requirements?",4,,
144,It should be released after the 2015 year.,Look F3 Plus with 4000 mAh. ,4,,
144,Which colour it has.,It is available in pink colour. ,4,,
144,Please tell me about its features.,"It has storage of 64 GB RAM, a Dual primary camera, 20 secondary camera. ",4,,
144,When was it released?,"It released in 2017, but still, it is pretty famous. ",4,,
144,What is its weight?,"Yes, it is 185 g in weight, including battery. ",4,,
144,What is its price?,It is available in 480. ,4,,
144,Please book it for me.,"Yes, sure, I will book it for you thank you do you need anything else. ",4,,
144,No thank you,Thank you for shopping. ,4,,
145,145,145,,,
145,"Hello, good morning. I am looking for a phone.",Hello. Can you tell me what specification do you want?,0,,
145,I want a phone from the Samsung brand.,"Yes, we have much variety of this brand. ",4,,
145,"I want at least 3000 mAh battery, 64 GB internal RAM",Look Galaxy S8+ with 3500 mAh in Midnight Black colour. ,4,,
145,Does it have a dual sim?,"Yes, it has a dual SIM. ",4,,
145,Please tell me about its features.,"It has storage of 4 GB RAM, 12 primary camera, eight secondary camera. ",4,,
145,When was it released?,"It released in 2017, but still, it is pretty famous. ",4,,
145,What is its weight?,"Yes, it is 173 g in weight, including battery. ",4,,
145,What is its price?,It is available in 900. ,4,,
145,It is very costly,"Yeah, but it is very famous because of its quality. ",4,,
145,Thank you. Please book it for me,"Yes, sure, I will book it for you. Is there anything else I could assist you in?",4,,
145,"No, thank you.","Okay, thank you for shopping. ",4,,
146,146,146,,,
146,Hello. I want to buy a camera for my personal use.,Hello. Can you please tell me any specifications you would want?,3,,
146,The maximum resolution must be 1024 megapixel,We do have a wide range of collections at this range of resolution. Can you please specify more?,3,,
146,Storage must be 4 GB.,Then you should go for Agfa ePhoto 1280 as it fulfils all your requirement. ,3,,
146,What is its price? Please provide some discount.,It will cost you 179 EUR. It is already at its discount price. ,3,,
146,"Okay, then, please confirm this one. Are you also selling smartphones?","Yes, we have different varieties please tell me if you have any specification preferences. ",3,,
146,"I want a 32 GB, a Black colour smartphone",We have many options. I will show you the best one. Do you have any price range?,3,,
146,Thank you yes in between 400 EUR,"Here, see Zenpad 3 8.0 Z581KL, which is the coolest one has a 4680 mAh battery.4 GB RAM, Black. ",3,,
146,Thank you so much. What is its price,It is 390 EUR. ,3,,
146,That is great. please book it for me.,"Okay, I will book your Agfa ePhoto 1280 camera and Zenpad 3 8.0 Z581KL phones. ",3,,
146,Thank you so much,Welcome. Thank you for shopping. ,3,,
147,147,147,,,
147,I am looking for a phone from the Google brand.,Hello. May I know what specification do you want?,5,,
147,It should have between 200 g weight and an above 3000 mAh battery.,"Look, Google Pixel XL has a 3450 mAh battery, 4 GB RAM. ",5,,
147,Which colour it has.,It is available in quite Black. ,5,,
147,Please tell me about its features.,"It has storage of 4 GB RAM, 13 primary camera, five secondary camera. ",5,,
147,When was it released?,"It released in 2016, but still, it is pretty famous. ",5,,
147,What is its weight?,"Yes, it is 169 g in weight, including battery. ",5,,
147,What is its price?,It is available for 250 EUR. ,5,,
147,Is it have good quality?,"Yeah, but it is very famous because of its quality. ",5,,
147,Thank you. Please book it for me,"Yes, sure, I will book it for you thank you do you need anything else. ",5,,
147,No thank you,"Okay, thank you for shopping. ",5,,
148,148,148,,,
148,"Hello, I am looking to buy a laptop for my wife to work from home.","Hello, May I know your specification requirements?",0,,
148,It should have a 128 GB (PCIe SSD) disk space i5 processor.,Here is Apple MacBook Air (Retina) with internal Intel UHD Graphics 617. ,3,,
148,"Great, what is its price?",It will cost you 5199 EUR. ,3,,
148,"Oh, it is pretty expensive.","It comes with 128 GB (PCIe SSD) disk space, and it has a 4/5 rating. It can handle daily use easily. It is a famous brand. ",3,,
148,"But, I don't want to spend this much money. Can you show the same model but with 4 GB RAM?",This model has a stunning 1920x1080 resolution Display. ,3,,
148,Do you have laptops from different brands in a price range of 3000 EUR?,Here is MateBook D from Huawei brand with Intel Core i5-8250U processor. ,3,,
148,Does it have Nvidia graphics?,It has powerful NVIDIA GeForce MX150 (2 GB) Graphics. The laptop has a 4.4-star rating. ,3,,
148,Do you have a discount on these laptops?,"Yes, after the discount its price is 2449. The laptop is preferred for daily use. ",3,,
148,I will wait till the next price drop.,Is there anything else I could assist you with?,3,,
148,"No, Thanks.",You are welcome. ,3,,
149,149,149,,,
149,"Hello, I am looking to buy a laptop for my daughter for her office work.","Hello, May I know your specification requirements?",0,,
149,It should have an i7 processor.,Here is MacBook Pro (Retina + Touch Bar) with internal Radeon Pro 555X GDDR5 (4 GB). ,3,,
149,Tell me about its ratings.,It is 0/5 ratings. ,3,,
149,"Great, what is its price?",It will cost you 10199 EUR. ,3,,
149,"Oh, it is pretty expensive, and also, the rating is abysmal.","It is from the apple brand and after discount, its price will be 9099. ",3,,
149,"But, I don't want to spend this much money. Can you show the same model?",This model has a stunning look with 256 GB SSD disk space. ,3,,
149,Do you have laptops from different brands in a price range of 5000 EUR?,Here's Swift 3 SF314-52G from Acer brand with Intel Core i7-8550U processor. ,3,,
149,Does it have Nvidia graphics?,It has powerful NVIDIA GeForce MX150 (2 GB) Graphics. ,3,,
149,Do you have a discount on these laptops?,"Yes, after the discount its price is 3399. The laptop is preferred for daily use. ",3,,
149,Please book it for me.,Thank you for shopping here. Is there anything else I could assist you with?,3,,
149,"No, Thanks.",You are welcome. ,3,,
150,150,150,,,
150,"Hello, I am looking to buy a phone.",Hello. May I know your specification requirements?,0,,
150,"It should have 32 GB, and the colour is black.",Here is Liquid Z6 Plus with a 4080 mAh battery. ,3,,
150,"Great, what is its price?",It will cost you 250 EUR. ,3,,
150,What about secondary camera quality.,It has 13M primary camera and 5M secondary camera. ,3,,
150,I want high camera quality.,"Then you should buy Liquid Jade Primo, which has 21 primary camera and eight secondary camera. ",3,,
150,Tell me its specification.,It has a 2870 mAh battery and 3 GB RAM Black in colour. ,3,,
150,Does it have 32 GB Internal RAM?,Yes it has,3,,
150,What is the price?,The price is 220 EUR. ,3,,
150,Please book it for me.,Thank you for shopping here. Is there anything else I could assist you with?,3,,
150,"No, Thanks.",You are welcome. ,3,,
151,151,151,,,
151,"Hello, I want to buy a phone.",Hello. Do you have any specification requirements?,0,,
151,It should be recently released in 2017 and from the YU brand.,Anything do you need to add to your specification. ,4,,
151,Its weight should be less.,"Look YU Yureka Black with 3000 mAh, and it is released in 2017 June. Weight is 152 g. ",4,,
151,Please tell me about its features.,"It has storage of 3 GB RAM, 13 primary camera, five secondary camera and Matte Black in colour. ",4,,
151,Does it have GPS and a dual sim?,"Yes, it has both",4,,
151,Is it available in stock now?,"Yes, it is available. Do you want to buy it?",4,,
151,What is its price?,It is available for 9000 EUR. ,4,,
151,It is costly.,"Yeah, but it is very famous because of its quality. ",4,,
151,"Still, I can't afford it. Can you please show me from Oppo brand which release date is the same as before?","Yes, please see Oppo R11, and it has 3000 mAh, 4 GB RAM, Dual P-camera, 20 S-camera, and black in colour. ",4,,
151,What is its price?,It has 400 EUR. ,4,,
151,Thank you. Please book it for me,"Yes, sure, I will book it for you thank you do you need anything else. ",4,,
151,No thank you.,"Okay, thank you for shopping. ",4,,
152,152,152,,,
152,I am want to look for a phone of Huawei brand.,Hello. What specifications you are looking for?,,,
152,I want a dual SIM and good camera quality.,Anything do you need to add to your specification. ,4,,
152,Price should be in between 400 EUR and above 3000 mAh battery capacity,"Look Huawei Nova 2 plus with 3340mAh, 4 GB RAM, Dual P-camera, 20 S-camera. ",4,,
152,Which colour it has.,It was available in Aurora Blue. ,4,,
152,What is its release year?,It was released in May 2017. ,4,,
152,What is its weight?,"yes, it is 169g in weight, including battery. ",4,,
152,What is its price?,It is available for 380 EUR. ,4,,
152,Is it have good quality?,"Yeah, but it is very famous because of its quality. ",4,,
152,Thank you. Please book it for me,"Yes, sure, I will book it for you thank you do you need anything else. ",4,,
152,No thank you,"Okay, thank you for shopping. ",4,,
153,153,153,,,
153,"Hello, Good Evening please show me a camera.",Good Evening. Do you have any specification requirements?,0,,
153,"I don't have any brand-specific, but it should be released in 2007. and have weight is between 150 g because it is easy to carry.","Yes, we have many options here. Please add some more information like price and resolution, focus range, etc. ",3,,
153,"Okay, then it should have a 70 normal focus range and above 3000 max resolution.","See Olympus FE-240, which released in 2007, 3072 max resolution, 145 g weight, and battery. ",3,,
153,What about its price?,The price is 129 EUR. ,3,,
153,Tell me about its features.,"It has seven effective pixels,",3,,
153,What about its storage?,It has 20 GB of storage. ,3,,
153,Is it reasonable to take travel photos?,"Yes, it has features that take good quality pictures. ",3,,
153,"Do you also sell Canon PowerShot A70, which release on 2003","Yes, we have. Do you want to know about it?",3,,
153,"No, I know about its details tell me about its price.",It is 139 EUR. ,3,,
153,Can you book both the camera for me?,"Okay, your order is booked. Do you want anything else?",3,,
153,"No, thank you.","Welcome, please visit again. ",3,,
154,154,154,,,
154,"I want to buy a smartphone, but I am not sure which phone will be best, please assist me.","Hello, I am here to assist you. Can you please tell me the specification that you want?",0,,
154,"I don't know the brand, but at least I want 32 GB RAM between 300 EUR.",Then it would nice if you bought Z25 from LAVA Brand. ,4,,
154,LAVA is a good brand.,"Yes, it is the most trustworthy brand most of the people buy this recently. ",4,,
154,What are the features it has?,"It has a 3020 mAh battery, 4 GB RAM, 13 primary camera, eight secondary camera,",4,,
154,"Ohh, great, then what is its colour.",It has Champagne Gold in colour. ,4,,
154,I think it's a very dull colour.,"This is a very unique and beautiful colour, and now this colour is in demand. ",4,,
154,"Still, I want another colour like black.",Then you should see ZUK Z2 Pro by Lenovo with Titanium Black,4,,
154,What about its features and price.,"It has a 3100 mAh battery, 4 GB RAM, And 64 GB internal memory with 520 EUR. ",4,,
154,It is a bit expensive,"Yes, but it has a stunning look that suits. ",4,,
154,"Okay, can you please book this for me?","Yes, I will book this for you",4,,
154,Do you sell Dell Inspiron 15 3567,"Yes, do you want to buy it. ",4,,
154,"Yes, I want this laptop also can you tell me about its price.","Yes, it is 1849 EUR. ",4,,
154,Can you pack both the phone and camera?,"Okay, your order is booked. ",4,,
154,Thank you,"Welcome, please visit again. ",4,,
155,155,155,,,
155,"Good afternoon, please show me Dell XPS 13 9380 laptops.",Good afternoon. Yes we have. ,0,,
155,Please tell me about its features and price.,"It has a 13—three display size. Intel Core i7-8565U processor, Intel UHD Graphics 620 graphics, and it is 6399 EUR. ",3,,
155,It is out of my budget don't you have any discount.,"Yes after the discount its price is 5999 EUR, and also its ratting is quite good like 4.4/5",3,,
155,"Still, I can't afford it please show which is in between 2000 EUR but from dell brand.",We have many options here. Please tell me some specifications. ,3,,
155,It should have 1TB HDD disk space.,"Please see Dell Inspiron 3567, and its price is 1429 EUR which is a low price among Dell brand. ",3,,
155,Tell me about its features.,"It has 15.6 display size, Intel Core i3-6006U processor Intel GMA HD graphics. ",3,,
155,Is it a good product?,"Yes, all product from dell brand is the very trustworthy product. ",3,,
155,Don't you have any discount on it?,It is a discounted price only. ,3,,
155,"Okay, please book it for me.",Your order is booked. ,3,,
155,Thank you.,"Welcome, please visit again. ",3,,
156,156,156,,,
156,I want to a phone please refer this link i want to buy phone like this. https://tse4.mm.bing.net/th?id=OIP.OEDsPwsWhIbc6rNBmKtHBgHaJo&pid=Api&P=0&w=300&h=300,"Hello, this from the Lenovo brand. ",0,,
156,Lenovo is a good brand or not?,"Yes, it is a very famous and trustworthy brand. ",0,,
156,Can you tell me about its features?,"It has 4050 mAh, 3 GB RAM, a Dual primary camera, eight secondary camera. ",0,,
156,What about its colour?,It is Gunmetal Grey in colour. ,5,,
156,Don't you have any black colour?,"Gunmetal Grey colour is the best and unique colour most people want to buy this colour, so most of the time this model is unavailable. ",5,,
156,What about its internal Storage and display size,"It has 32 GB Internal Storage, and the display size is 218. ",5,,
156,What is the price,It is 250 EUR,5,,
156,"Wow, this is an in-between range. please book it for me.","Okay, I will book it in your name. ",5,,
156,Thank you,"Welcome, please visit again. ",5,,
157,157,157,,,
157,Good morning. I want a phone that looks like this: http//tse1.mm.bing.net/th?id=OIP.0VqXulY5zGDnRY0yzpA2VQHaFZ&pid=Api&P=0&w=218&h=160,Good morning. This is phone is from LG. We have V10 from the LG that looks quite similar. ,2,,
157,Can you tell me about its features?,"It has 3000mAh, 3 GB RAM, 16 primary camera, Dual secondary camera. Most of the people are buying it. ",2,,
157,What about its SIM,It has a single SIM. ,2,,
157,Does it have a radio and GPS,"Yes, it has both the excellent quality of sound effect and in Space Black colour. ",2,,
157,Don't you have any blue colour?,"Space Black colour is the best and unique colour most people want to buy this colour, so this model is unavailable most of the time. ",2,,
157,I want 32 GB of Storage.,"Yes, It has 32 GB of internal storage. ",2,,
157,Is it comfortable to handle?,"Yes, its weight, including the battery, is 192, and the display size is 515, which makes it quite attractive and easy to carry. ",2,,
157,Tell me the cost.,The cost is 250 EUR. ,2,,
157,"Wow, this is an in-between range. Please book it for me.","Okay, I will book it in your name. ",2,,
157,Thank you,"Welcome, please visit again. ",2,,
158,158,158,,,
158,I want to buy a laptop. please show me some.,Good morning can you tell me your specification?,0,,
158,I only want a laptop with a 4-star rating.,Can you please add a bit more information?,0,,
158,It should have 1TB HDD disk space.,Here Aspire 3 A315-53-34CE by Acer. ,0,,
158,Is Acer is a good brand or not.,It is a most trustworthy brand most of the people want to all product from this brand only. ,1,,
158,Please tell me about its features.,"It has an Intel Core i3-7020U processor, Intel Graphics 620 graphics card. ",1,,
158,What is the price and is there any discount.,"It is 1549 EUR but after the discount, I will 1239 EUR. ",1,,
158,That is great. please book this for me.,"Okay, thank you. Do you want to buy other product also?",1,,
158,"Yes, I want to buy a smartphone of 32 GB black in colour.",Here V10 by LG With space black colour which is a very stunning colour. ,1,,
158,What are the features?,"It has 3000 mAh, 4 GB RAM With 32 GB internal storage, a Dual 16 primary camera, dual secondary camera. Its price is 250 EUR. ",1,,
158,That is great. please book this for me.,"Okay, I will book Aspire 3 A315-53-34CE by Acer. and V10 by LG",1,,
158,Thank you,"Welcome, please visit again. ",1,,
159,159,159,,,
159,"Good morning, please show me a laptop.",Good morning. Can you tell me your specification requirement?,0,,
159,I want a 15- inch display size,Can you please add a bit more information?,0,,
159,It should have Intel graphics and an i3 processor.,Here Aspire 3 A315-53 by Acer. ,0,,
159,Is it trustworthy?,It is a most trustworthy brand most of the people only want to all product from this brand. ,1,,
159,What is its specification?,It has 1TB HDD disk space and Intel HD Graphics 620 graphics card. ,1,,
159,What is the price and is there any discount.,"It is 1749 EUR but after the discount, I will 1599 EUR. ",1,,
159,That is great. please book this for me.,"Okay, thank you do you want to buy another product also. ",1,,
159,"Yes, I want to buy an LG V20 smartphone.","Yes, we have. Do you want to look into it?",1,,
159,"Yes, tell me about it.","It has 3200 mAh, 4 GB RAM With 32 GB internal storage, a Dual primary camera, five secondary camera, and 560 EUR. ",1,,
159,It's too expensive to book the laptop only.,"Okay, your Aspire 3 A315-53 is booked. ",1,,
159,Thank you,"Welcome, please visit again. ",1,,
160,160,160,,,
160,"Hello, I want to buy a camera for my friend on her birthday. She wants to become a photographer.",Good morning. I will assist you with this. Can you please tell me which features do you want?,0,,
160,I want above 1000 max resolution.,We have many options. Can you please add some more specifications?,0,,
160,It should have zoom wide above 40.,"Yes, we have Agfa ePhoto CL30 Clik!",3,,
160,Don't you have a familiar brand on this specification?,"Yes, we have Canon PowerShot A400 with 2048 max resolution. ",3,,
160,Can you tell me about its features?,It has zoom wide 45 and zooms tele 100,3,,
160,What is its focus range?,It has 0 normal focus range and five macro range. ,3,,
160,It has a shallow focus range. I want more.,Then you can buy Agfa ePhoto 1280. It can have all quality that you want. ,3,,
160,"No, I want the only Canon",It will be available within a few days. ,3,,
160,Then I have to wait for that.,"Okay, do you need anything else?",3,,
160,"No, thank you","Welcome, please visit again. ",3,,
161,161,161,,,
