User,Sentiment
What is its color?,Pos
I will take it.,Neu
I am very happy today. Thanks a lot ,Pos
173,173
"Hi, I want to buy a new phone.",Neu
I want 128 GB internal RAM phone.,Neu
What is its color?,Neu
"oh, I am not fond of silver color. Do you have it in blue color.",Neg
True but somehow i have aversion towards Silver color.,Neu
"Lovely, What is its color?",Pos
What is its price?,Neu
"Cool, I will take it.",Neu
Thanks a lot,Pos
174,174
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. Camera quality is my primary focus.,Neu
What is its primary and secondary camera quality?,Neu
"oh, I take too many selfie so I want higher quality secondary phone i.e 12 MP+. ",Neg
True but my friend have suggested to go for phone with 12 MP secondary camera,Neg
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
175,175
"Hi, I want to buy a phone",Neu
I want 2017 released HTC phone.,Neu
What is its cost?,Neu
I am looking for a phone which is less that 500 Euro,Neu
Yeah but I have limited money so can't afford it,Neg
I have no problem with the storage. I will buy it.,Neu
Thanks a lot,Pos
176,176
"Hello, I am in search of  a good phone.",Neu
"It should be MultiSim, GPS operated, less weight phone",Neu
"Great, what is its ReleasedYear and ReleasedMonth?",Neu
"oh, that's an old phone. Do you have 2017 released phone?",Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
177,177
"Hi, I want to buy a phone",Neu
"Actually, I am not restricted to any particular model but i need to have a phone that have high memory.",Neu
What is its memory?,Neu
"Superb, What is its cost?",Neu
"Unfortunately, that's too costly for me. Do you have 64 GB internal memory phone with lower price?",Neg
That is good to know but can't afford it,Neu
What is its color?,Neu
I will take it.,Neu
Thanks a ton,Pos
178,178
"Hi, I am interested in buying a phone.",Neu
"Yes, it should be light weight and should have small screen",Neu
Is it a DualSim phone?,Neu
"I don't want single sim.Can you recommend  DualSim , light weight and small screen phone?",Neg
But I require DualSim phone,Neg
What is its price?,Neu
Lovely it is under my budget. I will buy it.,Pos
Thank you so much,Pos
179,179
"Good Evening, I am in urgent need of a phone.",Neu
I don't have any specific mobile in my mind. You suggest me a good phone,Neu
What is its memory?,Neu
What is its price?,Neu
But my budget is less around 300 Euro.  Can you suggest in lower range?,Neg
But my budget is limited ,Neg
What is its color?,Neu
"Lovely, I will buy it.",Neu
Thanks a ton,Pos
180,180
"Hello, I want a good phone.",Neu
I want an apple phone.,Neu
What is its price?,Neu
It is very costly. Do you have phone under 700 Euro?,Neg
But I can't go beyond 700 Euro,Neg
What is its color?,Neu
What is its internal RAM,Neu
I will take it .,Neu
Thanks a lot.,Pos
181,181
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent and it should be in White color,Neu
How much storage does it offer?,Neu
And how about the Camera?,Neu
Can you suggest a phone with 128 GB internal RAM,Neu
"Ah its less,I I need more storage",Neg
How much storage does it offer?,Neu
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
182,182
"hi, i want a fantastic phone",Neu
I want LG phone with more space,Neu
What is its diaplay size?,Neu
Oh that's too big. Show me a phone with small display size,Neg
what is its battery?,Neu
What is its cost?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
183,183
"Hi, I want a phone.",Neu
I want to buy a blackberry phone,Neu
What is its camera quality?,Neu
"But, I want 16 MP Primary ",Neg
Still i would go for higher MP phone,Neg
"Cool, what is its memory?",Neu
What is its cost?,Neu
"Cool, I will purchase it.",Pos
Thanks a lot,Pos
184,184
"Good Evening, I am looking for best android smartphone",Neu
"Nothing in Particular, I want a 2017 released phone which is heavily in demand",Neu
What is its color?,Neu
"oh,I can't maintain Cherry Gold color. Do you have in blue or black color?",Neg
I take your point but still I would go for  Black or Blue,Neg
What is its price?,Neu
What is its battery capacity?,Neu
Is it DualSim phone?,Neu
"Okay , i think i will buy it",Neu
Thanks a lot for helping me in choosing a good phone,Pos
185,185
I want a technologically advanced mobile phone,Neu
I want an apple phone that fits my budget,Neu
It should be under 650 Euro,Neu
What is its storage,Neu
That will not fulfill my need. I need a phone with more space at least 64 GB internal RAM,Neu
I will take it,Neu
Thanks a lot for your help,Pos
186,186
"Hello , I want to buy a phone",Neu
"Yes, i need a GPS operated phone with less weight ",Neu
how much ?,Neu
whats is its battery?,Neu
"oh , but this is less",Neg
"Ok , can you please book it for me",Neu
Thank you Bot,Pos
187,187
"Hey, I need phone info.",Neu
It should be HTC company with less weight,Neu
"Yes, it should be  may 2017 released phone",Neu
What is its battery capacity ,Neu
but i need 4000mAH minimum,Neg
I can buy it. Book it for me,Neu
"OK,Thanks for information.",Pos
188,188
I need to buy a phone.,Neu
Phone with good primary camera and high battery capacity,Neu
No thats all.,Neu
what about secondary camera ?,Neu
What is its Released Year?,Neu
"oh, but I want a 2016 released phone",Neg
But I want a 2016 released phone with good camera and battery,Neg
what is it's both camera ? ,
It sounds great.,Pos
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
189,189
"Good Evening, I am looking for a trending phone",Neu
 I need to have a phone that has high memory and good battery life.,Neu
What is its color?,Neu
Whta is its weight?,Neu
That's a bit on heavier side. Do you have something in light weight?,Neg
Yeah but I don't find comfortable to keep heavy phone in my pocket ,Neg
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
190,190
"Hello , can you help me in selecting a phone ?",Neu
I want a white colored dualsim phone.,Neu
what is its camera quality?,Neu
What is its weight?,Neu
It's a bit heavy. I want lighter phone,Neu
But I don't feel comfortable carrying heavy phone,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
191,191
"Hello, I am in search of  a good phone.",Neu
it should have big display and high memory.,Neu
"No,I want high memory phne",Neu
What is its Primary Camera?,Neu
Oh I don't want this phone. My need is 16 MP or more camera phone,Neg
But still I would go for 16 MP+ camera phone,Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
192,192
"Hi, I want to buy a phone",Neu
It should be Samsung company and good memory,Neu
What is its memory?,Neu
"Superb, What is its cost?",Neu
"Unfortunately, that's too costly for me. Do you  phone with same specification at lower price?",Neg
That is good to know but can't afford it,Neu
What is its color?,Neu
I will take it.,Neu
Thanks a ton,Pos
193,193
"hi,can you help me in buying a phone ?",Neu
it should have less weight and better battery capacity,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in Gold? ",Neg
but I like Gold,Neg
what is it's cost ? ,Neu
ok can you book it for me,Neu
Thanks for help,Pos
194,194
"hi, I want to buy a new phone",Neu
It should have OS android and dual sim features,Neu
"No, that's it",Neu
what is its cost?,Neu
what color is it?,Neu
"Oh, is it possible to get in chrome color?",Neg
but I would prefer in chrome,Neg
what's the price?,Neu
"Okay, Can you book it for me?",Neu
Thanks a lot ,Pos
195,195
"Hey, I am looking for a good phone",Neu
It should be 2017 released phone with good RAM and high primary camera quality,Neu
What is the price?,Neu
I hope it has DualSim,Neu
What about the Radio?,Neu
Oh but I often listen to Radio,Neg
But i would prefer radio feature in my new phone,Neg
What is the cost?,Neu
ok can you book it  for me,Neu
Thanks for help,Pos
196,196
"Hey, can you help me in buying a new phone?",Neu
I want to buy a gray color phone with good secondary camera.,Neu
Does it has good camera ?,Neu
I hope it has DualSim feature in it.,Neu
what is it's cost ? ,Neu
oh 240 Euro is too costly for me. Can you suggest some other phone in cheaper price?,Neg
My budget restricts me to buy this phone,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
197,197
"Hello, I want to buy a new phone.",Neu
I want to buy a light weight phone with good camera quality ,Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
What is its price?,Neu
I want in higher range. My budget is 400 plus,Neu
But I don't want to buy this phone I want in higher range.,Neg
What is its price?,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
198,198
"Hi, I want to buy a new phone.",Neu
I want 64 GB internal RAM phone.,Neu
What is its color?,Neu
"oh, I am not fond of gold color. Do you have in some other color.",Neg
True but somehow i have aversion towards gold color.,Neg
"Lovely, What is its color?",Neu
What is its price?,Neu
"Cool, I will take it.",Pos
Thanks a lot,Pos
199,199
"Hi, can you please help me in selecting a phone?",Neu
I want to buy a GPS operated phone with 15MP primary camera,Neu
How is camera quality?,Neu
How much does it cost ? ,Neu
What is its memory?,Neu
"oh, that seems little less.I want a GPS operated phone with higher memory",Neg
I understand but I will face storage problem,Neg
Okay book this model for me.,Neu
Thanks for helping me.,Pos
200,200
"Hello, I want to buy a new phone.",Neu
"Yes, i need a phone with double sim in less cost",Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
"oh,I want latest mobile phone",Neg
Yeah but still I would go for latest phone,Neg
What is its price?,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
201,201
"Hi,I want to buy a phone.",Neu
I want a DualSim phone in which radio works,Neu
is it so ?,Neu
but I want Samsung company phone,Neg
it looks good enough.,Pos
Ok please complete the booking process.,Neu
Thanks a lot for your time,Pos
202,202
"I need to buy a phone, am i at right place?",Neu
I want to buy Xperia Arc S by Sony Ericsson ,Neu
What is its battery?,Neu
oh I want at least 3500 mAH battery capacity for my phone. Can you suggest me a phone with 3500 mAH battery?,Neg
But I travel a lot so need high power battery phone,Neg
What color is it available?,Neu
What is its price?,Neu
"Okay, I will buy it then.",Neu
Thanks a lot for your help.,Pos
203,203
I wanna buy a phone which fulfills all my requirements.,Neu
I want to buy a light weight phone with good performance,Neu
what are its specification?,Neu
"I am not sure about this phone. I don't want android OS phone. Do you have some other company phone which does not have android operating system?
",Neg
it looks good.,Pos
Ok book this one for me,Neu
Thanks for helping me.,Pos
204,204
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a gold color phone with good camera for my son.,Neu
"I have budget constraints, it should be under 400 Euro.",Neu
What is its Display Size?,Neu
"oh , but I want a phone which has small Display Size.",Neg
But still I am not comfortable with this big Display Size phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
205,205
I am looking for a good phone,Neu
I want a small display size phone with good memory,Neu
"Yes, my main priority is display size",Neu
What is its OS,Neu
"Oh, I don't have much idea about Mic. I would prefer android phone. ",Neg
My previous phone was Android so I feel comfortable with And phone,Neu
What color is it available in your store/?,Neu
"Okay, I will book this phone",Neu
Thanks a lot.,Pos
206,206
"Good evening, I am looking for a good phone",Neu
I am looking for a silver color  BlackBerry phone,Neu
What is its primary camera?,Neu
I want a blackberry phone with better camera with at least 10 MP primary camera,Neu
But I would prefer a phone with better  primary camera,Neg
No problem I will adjust with the color. what is its cost?,Neu
Book it for me.,Neu
Thanks dear,Pos
207,207
"Hi, I am looking for a mobile",Neu
"Hey, I am looking for a Asus mobile",Neu
camera should be superb,Neu
What is its price?,Neu
oh its little costly. I can't afford it. Show me less cost phone,Neg
I don't have that much money,Neu
What is its price?,Neu
What is its battery?,Neu
"Fine, i will take it.",Neu
Thanks a ton,Pos
208,208
"Good Evening, I want to buy a cell Phone",Neu
I want to buy an apple ipad,Neu
What is its battery?,Neu
What is its cost?,Neu
o God that's way too expensive. My budget is lttle less somewhere around 450 Euro,Neg
I will then have to take loan and I am not infavor of taking loan.,Neu
What is its color?,Pos
I will take it.,Neu
I am very happy today. Thanks a lot ,Pos
209,209
"Good Evening, I am looking for a trending phone",Neu
Show me a phone wih good memory and battery,Neu
What is its color?,Neu
Whta is its weight?,Neu
That's a bit on heavier side. Do you have something in light weight?,Neg
What is its price?,Neu
"Okay, I will take this phone.",Pos
thanks a ton,Pos
210,210
"Hey, I want to buy a phone.",Neu
I want a latest phone under 350 Euro,Neu
what is its camera quality?,Neu
That is too less.I want 16 MP primary camera,Neg
I would still prefer high MP phone.,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
211,211
I am looking for a good phone,Neu
I want a grey color phone with radio facility,Neu
I want a dualsim phone.,Neu
What is its OS,Neu
Sorry I don't want android phone this time. ,Neg
My previous was Android. This time I want to try other OS,Neu
What color is it available in your store/?,Neu
"Okay, I will book black phone",Neu
Thanks a lot.,Pos
212,212
"Hi, show me a nice phone with good features.",Neu
Show me a good light weight mobile ,Neu
What is its price?,Neu
"oh, it's way too costly. Show me a mobile with cost around 340?",Neg
Yes I understand that but my budget is restricted. Do you have phone under 320 Euro?,Neg
"Lovely, How much is its cost?",Pos
Kindly book it for me.,Neu
Thanks dear,Pos
213,213
"hi,can you help me in buying a phone ?",Neu
it should have BIG display size and battery capacity,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in Gold? ",Neg
but I like Gold,Neg
what is it's cost ? ,Neu
ok can you book it for me,Neu
Thanks for help,Pos
214,214
"hi, I want to buy a new phone",Neu
It should have OS Bla and multi sim features,Neu
what is its cost?,Neu
What is its display size,Neu
"Oh,that's very small. I don't want small display size phone",Neg
I watch lots of videos so would prefer bigger display size phone,Neu
what's the price?,Neu
"Okay, I will book this model",Neu
Thanks a lot ,Pos
215,215
"Hey, I am looking for a good phone",Neu
It should be gps phone with good memory and high camera quality,Neu
What is the price?,Neu
Does it has DualSim?,Neu
What is its released year?,Neu
Oh I want 2016 released phone,Neg
I understand but I want 2016 released phone as I will get good phone for less price,Neg
What is the cost?,Neu
ok can you book it  for me,Neu
Thanks for help,Pos
216,216
"Hey, can you help me in buying a new phone?",Neu
I want to buy a phone under 400 Euro with good memory backup.,Neu
What about its camera ?,Neu
I hope it has DualSim feature in it.,Neu
what is its Display Size ? ,Neu
Oh that's big. I want small display size phone. ,Neg
ok book this for me.,Neu
Thanks a lot for your time,Pos
217,217
"Hello, I want to buy a new phone.",Neu
I want to buy a phone with good camera quality and less weight,Neu
What is its battery?,Neu
What color is it?,Neu
what is its released year?,Neu
What is its price?,Neu
It is too costly for me. Do you have something in less?,Neg
I have budget constraints,Neu
What is its price?,Neu
ok can you book it for me,Neu
Thanks a lot for your time,Pos
218,218
"I need to buy a phone, am i at right place?",Neu
I want a good phone for superb selfie and high battery capacity. Secondary camera quality should be good. I click lots of pics,Neu
That's it,Neu
what is its primary camera ?,Neu
13 MP seems less. Show me a phone with atleast 16 MP primary camera,Neg
Show me a phone with 16 MP or so ?,Neu
what is its both camera ? ,Neu
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
219,219
I want greatest mobile phone,Neu
I want to buy a LeEco phone.,Neu
It should be under 350 Euro,Neu
What is its storage,Neu
oh that is quite less. Show me a phone with more space,Neg
"okay, I want at least 64 GB internal RAM and OS should be Android",Neu
What is its price?,Neu
I will take it,Neu
Thanks a lot for your help,Pos
220,220
"Hey, I need phone info.",Neu
Phone should have big display size ,Neu
"And Yes, preferable color should be White
",Neu
What is its  battery capacity ,Neu
but I need 4000mAH minimum,Neg
Okay then I will buy it.,Neu
"OK,Thanks for information.",Pos
221,221
"Good Evening, I am in urgent need of a phone.",Neu
I don't know much about it. You suggest me a latest phone,Neu
What is its memory?,Neu
What is its price?,Neu
oh that's a bit on expensive side.My budget is less around 300 Euro.  Can you suggest in less price?,Neg
But my budget is limited.,Neg
What is its color?,Neu
"Lovely, I will buy it.",Neu
Thanks a ton,Pos
222,222
"Hello, I want a good phone.",Neu
I want to buy a Motorola phone.,Neu
What is its price?,Neu
"Sorry I can't buy this , It is very costly. Do you have phone under 160 Euro?",Neg
But I can't go beyond 160 Euro,Neg
What is its color?,Neu
What is its internal RAM,Neu
I will take it .,Neu
Thanks a lot.,Pos
223,223
I wanna buy a phone which fulfills all my requirements.,Neu
Released year should be 2017 and it should be in gold color,Neu
How much storage does it offer?,Neu
"oh,it seems less to me.Can you suggest a phone with 64GB internal RAM",Neg
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
224,224
"hi, i am in need of a new phone",Neu
I want gps operated phone with more 15 MP secondary camera,Neu
What is its Display_Size?,Neu
oh that seems less.Do you have higher display size?,Neg
what is its battery?,Neu
What is its color?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
225,225
"Hi, I want a phone.",Neu
I want to buy a Vivo phone,Neu
What is its camera quality?,Neu
"But, I want higher quality secondary camera phone more than 12 MP. 8 MP seems very less.",Neg
Still I would go for higher MP phone,Neg
"Cool, what is its memory?",Neu
What is its cost?,Neu
"Cool, I will purchase it.",Pos
Thanks a lot,Pos
226,226
I wanna buy a phone which fulfills all my requirements.,Neu
Camera should be excellent ,Neu
How much storage does it offer?,Neu
And how about the Camera?,Neu
"Oh, that’s great. How much is the price?",Neu
What other phones do you have if I want more storage?,Neu
Still 32 GB seems too less as I watch lot of movies after downloading them in my phone so need more space.,Neg
How much storage does it offer?,Neu
How much is it for?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
227,227
"hi,can you help me in buying a phone ?",Neu
it should have good secondary camera and display size should be medium,Neu
how much does it cost ? ,Neu
what is its color ? ,Neu
"oh , is it possible in blue? ",Neg
ok can you book it for me,Neu
Thanks for help,Pos
228,228
"Hi, can you please help me in selecting a phone?",Neu
It should have big display and high memory.,Neu
"No, That's all.",Neu
What about its weight?,Neu
oh that's too light. I want heavy weight phone,Neg
How much it cost ? ,Neu
Ok book it for me.,Neu
Thank you,Pos
229,229
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a blue color dualsim android phone  for myself,Neu
"I have budget constraints, it should be under 500 Euro",Neu
What is its internal RAM storage?,Neu
"Oh, I want a phone of 128 GB internal RAM",Neg
But still I would opt for higher internal ram,Neg
What is its price?,Neu
"Perfect, I will buy it.",Pos
Thanks a ton,Pos
230,230
"Hi, I want to buy a cellphone for my daughter",Neu
"Yes, It should have good battery and storage.",Neu
What is its color?,Neu
Oh but I am looking for black color,Neg
But black is my favourite color ,Neg
What is its cost?,Neu
Ok book this one for me,Neu
Thanks for helping me.,Pos
231,231
"Hello, I want a good phone as I constantly work on phone",Neu
Battery should lasts long and display size should be big.,Neu
What is its cost?,Neu
Oh that's out of my budget,Neg
I have limited budget,Neu
What is its color?,Neu
I will take it then,Neu
Thannks a ton. You have been very helpful.,Pos
232,232
"Hey, I want to buy a phone",Neu
I want to buy a Oppo phone,Neu
How is the camera quality?,Neu
That's very good. What is its display screen size?,Neu
what is its internal RAM?,Neu
"oh, I want high storage phone",Neg
But still I want higher storage phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
233,233
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. Display size should be big ,Neu
What is its primary and secondary camera quality?,Neu
What is its ReleasedYear?,Neu
"oh, I want new  Released Year phone",Neg
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
234,234
"Hi, I want to buy a phone",Neu
I want recent released 2017 phone,Neu
What is its display size?,Neu
oh that seems less. I want big display size phone.,Neg
That's not a problem. I don't travel much.,Neu
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
235,235
"Hello, I am in urgent need of a good phone.",Neu
 Camera quality is my primary focus.,Neu
What is its primary and secondary camera quality?,Neu
What is its ReleasedYear?,Neu
"oh, I want new  Released Year phone",Neg
Well I am interested in buying new released phone,Neu
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
236,236
"Hi, can you please help me in selecting a phone?",Neu
I want to buy a good processor phone with less weight and high battery life,Neu
How much does it cost ? ,Neu
Does it uses Android OS?,Neu
I want Mic OS.,Neu
Okay book this model for me.,Neu
Thanks for helping me.,Pos
237,237
"Hello, I want to buy a new phone.",Neu
I want to buy a 2017 released  phone with radio facility,Neu
What is its battery?,Neu
What color is it?,Neu
What is its weight?,Neu
It is too light. I want a heavy weight phone,Neg
Heavy weight phone incorporates many good features,Neu
What is its price?,Neu
ok can you book it for me,Pos
Thanks a lot for your time,Pos
238,238
"Hey, I need phone info.",Neu
I want a android phone with internal RAM of 64 gb ,Neu
is it so ?,Neu
but it is out of my budget,Neg
it looks good enough.,Pos
Ok please complete the booking process.,Neu
Thanks a lot for your time,Pos
239,239
"I need to buy a phone, am i at right place?",Neu
Phone should have good back camera and high battery capacity,Neu
No thats all.,Neu
what about battery ?,Neu
Oh it is little less I think so,Neg
what is it's both camera ? ,
Ok can you book it for me?,Neu
Thanks for assistance.,Pos
240,240
I wanna buy a trendy  phone ,Neu
I want a big display size phone and yes radio should also work,Neu
what are its specification?,Neu
oh but I want 6 GB  RAM phone,Neg
I want 6 gb RAM because I do lot of office work on my phone,Neu
Ok book this one for me,Neu
Thanks for helping me.,Pos
241,241
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a light weight Samsung phone.,Neu
"I have budget constraints, it should be under 300 Euro",Neu
What is its display size?,Neu
I want a phone which has big display size?,Neg
But I am not comfortable with small size screen phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
242,242
I am in urgent need of a phone,Neu
I want a big Display Size phone with primary camera of at least 13 MP.,Neu
Sounds good. What is its internal RAM?,Pos
Oh i am sorry i didn't mention it before but I want a phone with 64 GB internal RAM,Neg
Does GPS works on it?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
243,243
I wanna buy a phone which fulfills all my requirements.,Neu
Primary Camera should be excellent and weight should be light ,Neu
How much storage does it offer?,Neu
That’s great. How much is the price?,Pos
"oh, its RAM space seems less. ",Neg
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
244,244
"Hey, I want to gift a phone to my brother",Neu
"yes, I want a Oppo mobile with GPS facility ",Neu
What is its price?,Neu
Unfortunately that's too costly for me. Do you have something in less?,Neg
What is its color?,Neu
what is its weight?,Neu
Sounds good to me. Please book it for me,Pos
Thanks for all your time.,Pos
245,245
"Good Evening, I am looking for best smartphone",Neu
 I need to have best Android phone for photography,Neu
What is its color?,Neu
What is its weight?,Neu
That's very heavy. I want light weight phone,Neg
I want lighter phone as it is easy to carry,Neu
What is its price?,Neu
"Okay, I will take this phone.",Neu
thanks a ton,Pos
246,246
"Hey, I want to buy a phone.",Neu
I want a Acer phone with tripel sim,Neu
what is its camera quality?,Neu
What is its color?,Neu
Oh i don't want black color. I want in blue.,Neg
what is its cost?,Neu
"Okay, I will take this phone.",Neu
You are a very good salesman. Thanks a lot,Pos
247,247
I am looking for a good phone,Neu
I want a small display size phone with good battery life,Neu
I want in gold color.,Neu
What is its OS,Neu
I don't want android OS phone. I am comfortable with iOS operating phone,Neg
What color is it available in your store/?,Neu
"Okay, I will book it",Neu
Thanks a lot.,Pos
248,248
"Hello, I am in urgent need of a good phone.",Neu
I don't have much requirement. I want Asus phone with good primary camera ,Neu
What is its primary and secondary camera quality?,Neu
"oh, I take many selfies so I want higher quality secondary phone i.e 13 MP+. ",Neg
True but my friend have suggested to go for phone with 13 MP secondary camera,Neg
What is its price?,Neu
I will buy it.,Neu
Thank you for your time,Pos
249,249
"Hi, I want to buy a phone",Neu
I want nokia phone and price should be around 250 Euro.,Neu
What is its battery?,Neu
Oh that seems little less. Can you suggest other phone with better battery life.,Neg
Okay but I watch too many videos and also I travel a lot.,Neg
I will buy it,Neu
Thanks a lot,Pos
250,250
"Hello, I am in search of  a good phone.",Neu
"Not much, It should be 2014 released multiSim phone ",Neu
What is its weight?,Neu
oh that looks like a heavy mobile. I want a handy mobile which is easy to carry,Neg
But I want a light weight phone that can fit easily in skinny jeans as well,Neg
What is its cost?,Neu
What is its weight,Neu
"Okay, I like this phone. Pack it for me.",Neu
Thanks a lot for your time,Pos
251,251
"Hi, I want to buy a phone",Neu
"Actually, I am not restricted to any particular model but i need to have a phone that has high memory.",Neu
What is its memory?,Neu
"Superb, What is its cost?",Pos
"Unfortunately, that's too costly for me. Do you have 64 GB internal memory phone with lower price?",Neg
That is good to know but can't afford it,Neu
What is its color?,Neu
I will take it.,Neu
Thanks a ton,Pos
252,252
"Hi, I am interested in buying a phone.",Neu
"Yes, it should be light weight and big screen",Neu
What is its color?,Neu
"Oh my previous phone was black, this time I want it in gold",Neg
What is its price?,Neu
Lovely it is under my budget. I will buy it.,Pos
Thank you so much,Pos
253,253
"Good Evening, I am in urgent need of a phone.",Neu
I want good camera vivo phone,Neu
What is its memory?,Neu
What is its price?,Neu
But my budget is more around 500 Euro.  Can you suggest a high range mobile?,Neg
But I want in higher range ,Neg
What is its color?,Neu
"Lovely, I will buy it.",Pos
Thanks a ton,Pos
254,254
"Hello , can you help me in selecting a phone ?",Neu
 I want to buy a black color multisim Samsung phone  for my son.,Neu
"I have budget constraints, it should be under 400 Euro",Neu
What is its display size?,Neu
I want a phone which has small display size,Neu
But I am not comfortable with big screen phone,Neg
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
255,255
"Hi, I want to buy a phone",Neu
"Yes, it should have good battery and storage.",Neu
What is its color?,Neu
I am looking for non gold color,Neu
But gold is not my liking ,Neg
What is its cost?,Neu
Ok book this one for me,Neu
Thanks for helping me.,Pos
256,256
"Hello, I want a impressive phone  as I do most of my office work on phone.",Neu
yes I want long lasting battery with big display size.,Neu
What is its weight?,Neu
Oh that's a bit heavy. Can you suggest some other phone with light weight,Neg
Yes I understand your point but still I would prefer light weight phone,Neg
What is its color?,Neu
I will take it then,Neu
Thannks a ton. You have been very helpful.,Pos
257,257
"Hey, I want to buy a phone",Neu
I want to buy Xiaomi phone,Neu
How is the camera quality?,Neu
That's very good. What is its display screen size?,Neu
Oh that's big. I want small display size phone,Neg
I'll have more room in my bags and pockets with small screen size phone,Neu
What is its price?,Neu
"Perfect, I will take it. Kindly gift wrap it.",Pos
Thanks a ton,Pos
258,258
"Hi, I am looking for a good phone",Neu
I want to buy 2014 apple mobile as its price has reduced. ,Neu
How is the battery life?,Neu
What is its color?,Neu
What is its cost?,Neu
"oh, then also it's out of my budget. My budget is 600. ",Neg
I understand but I have budget constraints,Neg
ok can you book it for me,Neu
Thanks for help,Pos
259,259
I am in urgent need of a phone,Neu
I want a light weight phone with the RAM of 4 GB.,Neu
What is its battery?,Neu
"oh that's less,do you have some other brand phone with better battery?",Neg
Does it has DualSim?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
260,260
"Hello , can you help me in selecting a phone ?",Neu
I want to buy a trendy light weight gps operated phone ,Neu
What is its display size?,Neu
oh that's quite small. I want a big display size phone as I love watching videos,Neg
Yeah but I am not a big fan of small screen size phone.,Neg
What color is it available?,Neu
"Okay, I will buy it then.",Neu
Thanks a lot for your help,Pos
261,261
"Hey, I want to buy a trendy phone",Neu
"Hi, I want to buy the best android phone",Neu
I want something under 700 Euro,Neu
What is its internal RAM?,Neu
oh that's very less. It will not solve my purpose. I need at least 128 GB internal RAM,Neg
"But you’ll have to manually send content there, or instruct your phone to save certain media types to external storage whenever possible.",Neg
What is its cost?,Neu
"Okay, can you pack this phone?",Neu
Thanks for help,Pos
262,262
"hi,can you help me in choosing a good phone ?",Neu
it should be dualsim phone and 2015 launched phone,Neu
how much does it cost ? ,Neu
what is it's color ? ,Neu
"oh , is it possible in Black? ",Neg
ok can you book it for me,Neu
Thanks for help,Pos
263,263
"Hi, I want to buy a  mobile. ",Neu
I am looking for a Oppo phone with good battery life,Neu
What is its price?,Neu
That's a bit on expensive side. Do have any phone under 270 Euro,Neg
It is a bit costly for me.My budget is 270,Neu
Sounds perfect. I will buy it.,Pos
It was nice interacting with you. Thanks for your patience and help.,Pos
264,264
"Hello, I want to buy a best selling model phone.",Neu
"Yes, i need a samsung phone with multisim in less cost",Neu
What is its memory?,Neu
That is too less. Can you suggest a phone with 4 GB Ram and being widely used.,Neg
Having more RAM is important for multitasking because it allows to switch between apps,Neu
What is its cost?,Neu
Sounds good to me. I will take it.,Pos
Thanks a lot for your patience and time.,Pos
265,265
"Hi, can you please help me in selecting a phone?",Neu
I want to buy a phone with 13MP secondary camera as I take lot of selfie,Neu
What is its display size,Neu
