USER,INTENT,Slot-Value,Value,B-I-O Tag
Just wanted you to know that I am looking for a phone with good battery.,Inform,Battery-Good,Good,O O O O O O O O O O O O O O B-Battery
That can work fine for me. I will buy both of them.,BookingReq,NA,NA,O O O O O O O O O O O O
"Not at present, but may be soon.",Reject,NA,NA,O O O O O O O
Thank you for your help,Close,NA,NA,O O O O O
188,,,,
Hi. I would like to buy a phone.,PhoneSelReq,NA,NA,O O O O O O O O
"The look is of uttermost importance. It has to look like this 
https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Fwww.timesnews.co.uk%2Fwp-content%2Fuploads%2F2016%2F05%2FZTE-Axon-7-Ion-Gold.jpg&f=1&nofb=1",Inform,Look-UNK,UNK,O O O O O O O O O O O O O
Do you know the name of the model which I showed you in picture?,SuggestionReq,Model-UNK,UNK,O O O O O O O O O O O O O O
"My previous phone was giving me a good battery backup, Does it have the same battery backup?",Inform,Battery-Good,Good,O O O O O O O O B-Battery O O O O O O B-Battery O
How much is the RAM?,Inform,RAM-UNK,UNK,O O O O B-RAM
How big is the display screen?,Inform,Display-UNK,UNK,O O O O B-Display O
I am a photographer and i take photos regularly. Will it give me a bigger storage capacity?,SuggestionReq,Storage-Bigger,Bigger,O O O O O O O O O O O O O O O B-Storage O
How much will I have to pay for this?,SuggestionReq,Cost-UNK,UNK,O O O O O O B-Cost O O
What about the camera's capabilities and quality?,SuggestionReq,Camera-UNK,UNK,O O O O O O O
Great!,Feedback,NA,NA,O
Yes of course. Book it for me.,BookingReq,NA,NA,O O O O O O O
Thank you for your assistance.,Close,NA,NA,O O O O O
189,,,,
"Hello, I'm looking for a little assistance from you.",PhoneSelReq,NA,NA,O O O O O O O O O
I actually saw this picture in my gallery and forgot what the model is https://cdn.gadgets360.com/content/assets/products/huawei-mediapad-x2-2440_960X480_1438858207.jpg?downsize=*:180&output-quality=80&output-format=webp,Inform,NA,NA,O O O O O O O O O O O O O O O
"Well, I love because of its beautiful look. Do you have it?",Inform,NA,NA,O O O O O O O O O O O O
That is fantastic. Could you tell me anything of its other features?,Inform,NA,NA,O O O O O O O O O O O O
It sounds like the phone of your dreams. What is the weight of it?,Request,Weight-UNK,UNK,O O O O O O O O O O O B-Weight O O
If you know how much space does it poses?,Request,Space-UNK,UNK,O O O O O B-RAM O O O
Stunning!! How much is it going to cost me?,Request,Cost-UNK,UNK,O O O O O O O B-Cost O
That will not be a problem. Is there another one of the same colour that you have?,Request,Color-Moon light silver,Moon light silver,O O O O O O O O O O O O O B-Colour O O O
"No, I adore this colour. Is this model equipped with a radio?",Request,Radio-UNK,UNK,O O O O O O O O O O O B-Radio
Will it fulfill all specifications?,Request,NA,NA,O O O O O
Okay. I'll purchase it. Please book it for me.,BookingReq,NA,NA,O O O O O O O O O
"No, thankyou for assitance.",Close,NA,NA,O O O O
190,,,,
Hey! Is there any white snow tab. I'm looking for it.,TabletSelReq,"Color-white, Model-tab","White,Tab",O O O O B-Colour O O O O O O
"Yes, of course.",Request,NA,NA,O O O
It's the one I was expecting. can you tell me more about it.,Inform,NA,NA,O O O O O O O O O O O O O
"I want to purchase a product with a high brand name, not just any product.",Inform,Brand-High,High,O O O O O O O O O B-Brand O O O O O
I'm not sure what to say about this. I'll be able to make a more informed decision if you tell me more about the capabilities.,Request,"Ram-UNK, Weight-UNK","UNK, UNK",O O O O O O O O O O O O O O O O O O O O O O O O O
Is it one of Huawei's most recent models?,SuggestionReq,Battery-UNK,UNK,O O O O B-Brand O O O
I too need GPS. Is this a function of this product as well?,Inform,Memory-UNK,UNK,O O O B-GPS O O O O O O O O O
If it has a GPS system then this will be the perfect product.,Feedback,NA,NA,O O O O B-GPS O O O O O O O O
What about the camera's capabilities and quality?,Request,Camera-UNK,UNK,O O O B-Camera O O O
What about the price?,Request,Cost-UNK,UNK,O O O B-Cost
I think the product is much expensive and not having much features.,Feedback,NA,NA,O O O O O O O O O O O O
Do you have some other more options for me?,Request,NA,NA,O O O O O O O O O
This seems to be a reasonable deal to me. Thank you so much for your assistance.,Gratitude,NA,NA,O O O O O O O O O O O O O O O O
191,,,,
"Hello, I'm looking to purchase a laptop.",LaptopSelReq,NA,NA,O O O O O O O
Dell or Lenovo are the brands that I have heard before.,SuggestionReq,"Brand-dell, Brand-lenovo","Dell,Lenovo",B-Brand O B-Brand O O O O O O O O
"Is that correct? So, bring me some Asus items that are fine.",Request,Brand-Asus,Asus,O O O O O O O B-Brand O O O O
I have about 5000 EUR to spend on it.,Inform,Cost-5000,5000,O O O B-Cost O O O O O
I'll will be happy if you will tell me about its feature.,Request,NA,NA,O O O O O O O O O O O O
"What about the graphics card and processor?
I'd rather get an i7 cpu.",SuggestionReq,"Processor-UNK,Graphics-UNK","UNK,UNK",O O O B-GPU O O O O O O O I-Processor O
Could you give me any details about disc space?,Request,Memory-UNK,UNK,O O O O O O O O B-Storage O
"Excellent!!
I'm not sure how much I'll have to pay for this.",Gratitude,Cost-UNK,UNK,O O O O O O O O O B-Cost O O
Is there any discount available?,Request,Cost-UNK,UNK,O O O O O
I don't think that this is a valuable deal for me.,Feedback,NA,NA,O O O O O O O O O O O
That's fantastic.Thank you so much.,Gratitude,NA,NA,O O O O O
Do you have some more options available for me.,Request,NA,NA,O O O O O O O O O
Will it be more beneficial for me than the one you showed previously?,Request,NA,NA,O O O O O O O O O O O O O
Ok. Then please pack my previously selected laptop.,BookingReq,NA,NA,O O O O O O O O
"No, thankyou so much.",Close,NA,NA,O O O O
192,,,,
Hey! I'd like to buy the best-rated laptop you have on hand.,LaptopSelReq,NA,NA,O O O O O O O O O O O O
I can't think of any right now.,SuggestionReq,NA,NA,O O O O O O O
Is there anything you'd like to suggest as a successful brand?,SuggestionReq,Brand-UNK,UNK,O O O O O O O O O O B-Brand
The issue is that I cannot afford to spend more than 6000 EUR on a laptop.,Inform,Brand-UNK,UNK,O O O O O O O O O O O O B-Cost O O O
"What could possibly be better than this?
Would you mind providing me with any more information?",Request,"Processor-UNK,Size-UNK","UNK,UNK",O O O O O O O O O O O O O O O O
How are the graphics quality?,Request,Graphics-UNK,UNK,O O O B-GPU O
I don't think that this will be suitable for me.,Feedback,NA,NA,O O O O O O O O O O
Do you have any idea how much storage space there is?,Request,Size-UNK,UNK,O O O O O O O B-Storage O O O
"Excellent!!
What is this model's star rating?",Gratitude,Rating-UNK,UNK,O O O O B-Model O O
What do you mean by that?,LaptopSelReq,Cost-UNK,UNK,O O O O O O
I'm going to buy this one. Thank you so much.,Gratitude,NA,NA,O O O O O O O O O O
193,,,,
"Good afternoon!
I'd like to know if HP laptops get a 5-star ranking.",LaptopSelReq,Brand-HP,HP,O O O O O O O B-Brand O O O O O
Are they really that good? buying it will really worth it?,Request,Brand-HP,HP,O O O O O O O O O O O
I have a budget of up to 3000 EUR for this laptop. Is that sufficient?,LaptopSelReq,Cost-UNK,UNK,O O O O O O O B-Cost O O O O O O O
What other brands do you think are superior to HP?,SuggestionReq,Brand-UNK,UNK,O O O O O O O O O B-Brand
"However, before I do that, I'd like to learn more about its capabilities.",Request,"Processor-UNK,Size-UNK","UNK,UNK",O O O O O O O O O O O O O
I'm looking for a laptop with plenty of features.,SuggestionReq,Storage-UNK,UNK,O O O O O O O O O
I have a doubt on this product. i don't think that it will be a good option.,Feedback,NA,NA,O O O O O O O O O O O O O O O O O
What is the graphics standard like?,Request,Graphics-UNK,UNK,O O O B-GPU O O
And how long will this set me back?,SuggestionReq,Cost-UNK,UNK,O O O O O O O O
Isn't there any discount available?,Request,Cost-UNK,UNK,O O O O O
"Wow, that really is incredible. This way, I'll be able to save a lot of money. Thank you so much.",BookingReq,NA,NA,O O O O O O O O O O O O O O O O O O O O
194,,,,
"Hello, I'm looking to purchase an Apple laptop. So, what about you? Do you have one?",LaptopSelReq,Brand-Apple,Apple,O O O O O O B-Brand O O O O O O O O O
A maximum of 3000 EUR is allowed. But I'm still looking for a model who has earned a five-star ranking.,Inform,Cost-UNK,UNK,O O O B-Cost O O O O O O O O O O O O O O B-Rating O
Isn't there any possibility I could get a better deal on another model with a higher rating?,LaptopSelReq,Rating-UNK,UNK,O O O O O O O O O O O O O O O O B-Rating
"No, Apple laptops are the best, so Apple it is.",Inform,"Brand-HP,ASUS","HP,ASUS",O B-Brand O O O O O B-Brand O O
"Okay, That is it. Please elaborate on the HP desktop.",Request,Brand-HP,HP,O O O O O O O O B-Brand O
What are the characteristics?,Request,"Display-UNK,Storage-UNK","UNK,UNK",O O O O
"I think it's great, but I'd like to hear more about the graphics.",Request,Graphics-UNK,UNK,O O O O O O O O O O O O O
I'm not sure how much I'll have to pay for this and i'm not in the mood to buy it.,Feedback,Cost-UNK,UNK,O O O O O O O O O O O O O O O O O O O O
I'm still undecided. Maybe I'll put it off for a while.,Reject,NA,NA,O O O O O O O O O O O
Thank you so much for your support.,Gratitude,NA,NA,O O O O O O O
195,,,,
Hello there. I'm in town to purchase a professional camera.,CameraSelReq,NA,NA,O O O O O O O O O O
Nikon or Sony are the only brands that can be considered.,SuggestionReq,"Brand-Sony,Nikon","Sony,Nikon",B-Brand O B-Brand O O O O O O O O
A camera with more than 20 pixels is needed.,CameraSelReq,Sensor-UNK,UNK,O O O O O O B-Sensor O O
"I'm not convinced, but I'd like to learn more about the substance before making any decisions.",Request,Brand-Canon,Canon,O O O O O O O O O O O O O O O O
It's intriguing!! What is the weight of it?,Reject,Weight-UNK,UNK,O O O O O B-Weight O O
What is the price?,Request,Cost-UNK,UNK,O O O B-Cost
"With so much money, I'd rather buy a Nikon camera. I didn't want to waste my money on this worthless product.",Reject,Brand-UNK,UNK,O O O O O O O O B-Brand O O O O O O O O O O O O
That isn't going to be important. My top priority is a camera with a resolution of 20 pixels.,Request,Brand-UNK,UNK,O O O O O O O O O O O O O O O O O B-Resolution
"No, I'll hold off until Nikon releases new ones. Please let me know if you find out anything about the camera I'm looking for.",Request,NA,NA,O O O O O B-Brand O O O O O O O O O O O O O O O O O O
Thank you so much for your support.,Gratitude,NA,NA,O O O O O O O
196,,,,
Hello and good evening. Can you describe a camera with a resolution of 5000 pixels or higher?,CameraSelReq,NA,NA,O O O O O O O O O O O O O O O O O
I'd like to give it to my youngest daughter. She is a talented photographer who supports Sony's products.,Inform,Brand-Sony,Sony,O O O O O O O O O O O O O O O O B-Brand O
"If That is not a Sony device, she won't really like.",Request,Brand-Canon,Canon,O O O O O B-Brand O O O O O
My daughter will not even touch it. if its features are up to the mark then she will think of it.,CameraSelReq,NA,NA,O O O O O O O O O O O O O O O O O O O O O
"Ok, I can only make a decision if you provide more information about its function.",Request,Brnd-UNK,UNK,O O O O O O O O O O O O O O O
Can you tell me how many pixels the camera has?,Request,Sensor-UNK,UNK,O O O O O O B-Sensor O O O
Are you sure there isn't a Sony product that meets these requirements?,SuggestionReq,NA,NA,O O O O O O B-Brand O O O O O
"I understand, but I'd really like to see how much it would cost me.",Request,Cost-UNK,UNK,O O O O O O O O O O O O B-Cost O
Oh my goodness! That is a lot of money.,Feedback,Budget-Low,Low,O O O O O O O O O
"However, I do not believe they would have the same features.",CameraSelReq,Brand-UNK,UNK,O O O O O O O O O O O
"No, it's fine. I'd go out and get her something else. I couldn't trust you.",Inform,NA,NA,O O O O O O O O O O O O O O O
"I'm not certain. However, I appreciate your support.",Gratitude,NA,NA,O O O O O O O O
197,,,,
Hello there. Feel free to explain the most expensive camera to me.,CameraSelReq,Budget-High,High,O O O O O O O O O O O O
Could you please tell me the brands you have?,Request,Brand-UNK,UNK,O O O O O O B-Brand O O
I'd rather use a Canon camera.,SuggestionReq,Cost-UNK,UNK,O O O O B-Brand O
"OK, I said costly, but That is simply too much you are giving me camera or gold?",CameraSelReq,NA,NA,O O O O O O O O O O O O O O O O O
I believe 6000 EUR is sufficient for a camera.,Request,Cost-UNK,UNK,O O B-Cost O O O O O O
"Okay, so then recommend some decent brands to me.",CameraSelReq,"Brand-Ricoh,Nikon,Cost-UNK","Ricoh,Nikon,UNK",O O O O O O O O O
"No, it's not true. Ricoh isn't going to cut it.",Request,Brand-UNK,UNK,O O O O B-Brand O O O O O
"OK, please go on.",Request,Resolution-UNK,UNK,O O O O
Is this a version from the past?,Request,NA,NA,O O O B-Version O O O
Where do the pixels fit in?,Request,Sensor-UNK,UNK,O O O B-pixels O O
What is the weight of it?,Request,Weight-UNK,UNK,O O O B-Weight O O
I'm not sure how much I'd have to spend.,SuggestionReq,Cost-UNK,UNK,O O O O O O O O B-Price
I'm going to buy this one.,BookingReq,NA,NA,O O O O O O
I'm excited can't wait for it.,Gratitude,NA,NA,O O O O O O
198,,,,
Welcome. Show me the most recent Samsung smartphone edition.,PhoneSelReq,Brand-Asus,Asus,O O O O O O B-Brand O O
"That, I don't think, would accomplish much.",Request,Brand-UNK,UNK,O O O O O O O
"Is that correct? Okay, then just tell me a little bit about it.",Request,Battery-UNK,UNK,O O O O O O O O O O O O O
"That's great, how's the image quality and what about its megapixels ?",Request,Sensor-UNK,UNK,O O O O O O O O O O O B-Sensor
How many slim slots does it poses? I'd like to see a phone with a dual-sim card.,Reject,Weight-UNK,UNK,O O O B-Sim O O O O O O O O O O O O B-Sim O
What kind of RAM does it have?,Request,RAM-UNK,UNK,O O O B-RAM O O O
How much disc space does this Asus model have?,Request,"Memory-UNK,Color-UNK","UNK,UNK",O O B-Storage O O O B-Brand O O
But I want a smartphone that is gold in colour. It seems to be beautiful.,PhoneSelReq,Color-Gold,Gold,O O O O O O O B-Colour O O O O O O O
How much does it cost?,Request,Cost-UNK,UNK,O O O O B-Cost
"I never liked black color. I'm not certain, but I think I'd go for gold.",Request,Color-gold,gold,O O O B-Colour O O O O O O O O O O B-Colour
"No, it does not. I would only buy this model if it was available in gold. Thank you so much.",Gratitude,Color-gold,gold,O O O O O O O O O O O O O O O B-Colour O O O O
199,,,,
Hello there. Can you assist me with a phone?,PhoneSelReq,NA,NA,O O O O O O O O O
"Actually, I have a photo of a phone, but I'm not sure what kind it is. The URL is :https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9983-1.jp",Request,Phone-UNK,UNK,O O O O O O O O O O O O O O O O O O O O
Is this one still available?,Request,Color-UNK,UNK,O O O O O
When was this model made available?,Request,NA,NA,O O O B-Model O O
"It seems to be attractive, but what about its other characteristics?",Request,"Battery-UNK,RAM-UNK","UNK,UNK",O O O O O O O O O O O
Can you tell me a little bit about the camera's quality?,Request,Camera-UNK,UNK,O O O O O O O O O O O
That falls short of my expectations. I'm on the lookout for a phone with a better camera.,Feedback,NA,NA,O O O O O O O O O O O O O O O O B-Camera
How much will it cost me?,Request,Cost-UNK,UNK,O O O O B-Cost O
I don't believe this will live up to my hopes.,Inform,NA,NA,O O O O O O O O O O
"No, I don't need a phone that urgently. I really liked the sound of that smartphone and decided to own it.",Inform,NA,NA,O O O O O O O O O O O O O O O O O O O O O
It's a lot of money for absolutely nothing. None of the functions are valuable. I won't be buying it right now but thank you for your assistance,Gratitude,NA,NA,O O O O O O O O O O O O O O O O O O O O O O O O O O O
200,,,,
"Hello, I'm interested in purchasing the HTC Desire 10 Pro.",PhoneSelReq,Brand-HTC Desire 10 Pro,HTC Desire 10 Pro,O O O O O O B-Brand O B-Display O
"No, I'm an HTC fan, and its style is fantastic.",Request,Brand-HTC,HTC,O O O B-Brand O O O O O O
"Yes, I want a phone with a large screen, nearly 500 pixels wide.",Request,Display Size-500,500,O O O O O O O O O O B-Resolution O O
I'm so sorry!! And show me any other phones if you have some.,Request,NA,NA,O O O O O O O O O O O O O
One of my favourites!! Is this the most recent model?,Request,NA,NA,O O O O O O O O O O
What is the capacity of internal storage?,Request,Storage-UNK,UNK,O O O O O O B-Storage
How much memory does it have?,PhoneSelReq,Memory-UNK,UNK,O O B-RAM O O O
I'd still like a handset with two SIM slots.,Request,Slots-UNK,UNK,O O O O O O O B-Sim O
That is fantastic!! How much would this cost me if I go through it?,SuggestionReq,Cost-UNK,UNK,O O O O O O O B-Cost O O O O O O
"Ok, I loved it. So, here's your money. Thank you so much.",Gratitude,NA,NA,O O O O O O O O O O O O
201,,,,
Hello and good morning. Could you take a look at this photo and tell me which model it is?  https://drop.ndtv.com/TECH/product_database/images/45201735517PM_635_mi_pad_3.jpeg?downsize=*:180&output-quality=80&output-format=webp,PhoneSelReq,Brand-UNK,UNK,O O O O O O O O O O O O O O O O O B-Model O O
"Yes, I'd like to.",Request,NA,NA,O O O O
What is the state of the battery backup?,Request,Battery-UNK,UNK,O O O O O O B-Battery O
That will suffice.,SuggestionReq,NA,NA,O O O
"I like seeing new locations. Under any scenario, I anticipate having my phone with me at all times.",PhoneSelReq,Phone-UNK,UNK,O O O O O O O O O O O O O O O O O O
What other functions does it have?,Request,Color-UNK,UNK,O O O O O O
Is it possible for you to shed some light on the camera's quality?,Request,Camera-UNK,UNK,O O O O O O O O O O O B-Camera O
Is the storage space adequate?,Request,Storage-UNK,UNK,O O B-Storage O O
"All is perfect, but I only want the most recent model.",Request,NA,NA,O O O O O O O O O O O
"However, I need a model that should be released around 2020.",SuggestionReq,NA,NA,O O O O O O O O O O B-ReleaseYear
"No, it's not true. I ought to reconsider my choice. Anyway,I wasted my time. thank you for your assistance.",Close,NA,NA,O O O O O O O O O O O O O O O O O O O
202,,,,
"Hello, I'd like to purchase an HP laptop.",LaptopSelReq,Brand-HP,HP,O O O O O O B-Brand O
"No. However, I'd like one with a monitor screen size That is larger than 17 inches.",Request,Size-UNK,UNK,O O O O O O O O O O O O O O B-Display O
That is fantastic.,LaptopSelReq,NA,NA,O O O
"Yes, absolutely.",Request,Brand-UNK,UNK,O O
What about testimonials? Is this a prominent company brand?,Request,Brand-UNK,UNK,O O O O O O O O B-Brand
What is the deal with the HP models? I'm sure it received positive feedback.,FeedbackReq,Brand-HP,HP,O O O O O O B-Brand O O O O O O O
"Okay, That is it. Could you tell me more about the processor in the MSI model?",LaptopSelReq,Brand-MSI,MSI,O O O O O O O O O O O B-Processor O O B-Brand O
Could you tell me what graphics were used in this?,Request,Graphics-UNK,UNK,O O O O O B-GPU O O O O
I'd just like to see how much it would cost.,Request,Cost-UNK,UNK,O O O O O O O O O B-Cost
I don't think that this much of money will be suitable for this laptop.,Feedback,NA,NA,O O O O O O O O O O O O O O
Is there any discount available?,Request,NA,NA,O O O O O
"Okay, That is it. I'm going to buy it. Thank you so much!",Gratitude,NA,NA,O O O O O O O O O O O O O
203,,,,
"Hello, I'm here to purchase a Vivo smartphone.",PhoneSelReq,Brand-Vivo,Vivo,O O O O O O B-Brand O
Any model from Vivo can do. Can you happen to have it on hand?,Request,Brand-vivo,vivo,O O O B-Brand O O O O O O O O O O
I favor the Vivo brand.,Inform,Brand-vivo,vivo,O O O B-Brand O
Can you tell me some of the characteristics from the Vivo V5 Plus.,Request,"Brand-Vivo, Model-V5 Plus","Vivo, V5 Plus",O O O O O O O O O O B-Brand I-Model O
What does the camera quality speaks?,Request,Camera-UNK,UNK,O O O B-Camera O O
"How can be this possible? are you joking, this model is very much famous.",Feedback,NA,NA,O O O O O O O O O B-Model O O O O
"That is great, but what about its RAM and internal storage?",Request,"RAM-UNK, Storage-UNK","UNK, UNK",O O O O O O O O B-RAM O B-Storage
Is it a compact model?,Request,NA,NA,O O O O B-Model
Is it present in any colour?,Request,Color-UNK,UNK,O O O O O B-Colour
And how much does it cost?,Request,Cost-UNK,UNK,O O O O O B-Cost
I'd like to purchase it. Please book this one for me.,BookingReq,NA,NA,O O O O O O O O O O O
Thank you so much.,Gratitude,NA,NA,O O O O
204,,,,
"Good evening, may you assist me in purchasing a phone?",PhoneSelReq,NA,NA,O O O O O O O O O O
Do you have one similar to this one:  https://drop.ndtv.com/TECH/product_database/images/vivo_v5s_black_face_4131_480X960_59201743445AM.jpg?downsize=*:180&output-quality=80&output-format=web,SuggestionReq,Brand-UNK,UNK,O O O O O O O O O
Is that the same phone which i'm looking for?,Request,NA,NA,O O O O O O O O O
But I still want a decent camera in the phone.,Request,Camera-UNK,UNK,O O O O O O B-Camera O O O
That sounds incredible!!,Gratitude,NA,NA,O O O
Can you tell me how much storage space there is?,Request,Storage-UNK,UNK,O O O O O O B-Storage O O O
What is the weight of this phone?,Request,Weight-UNK,UNK,O O O B-Weight O O O
"Nice, but is this a good looking phone?",Request,NA,NA,O O O O O O O O
Crown Gold? Never heard of that colour.,SuggestionReq,Color-UNK,UNK,B-Colour O O O O O O
When was this phone released?,Request,ReleasedDate-UNK,UNK,O O O O B-ReleaseDate
How much money will I have to spend to buy this?,Request,Cost-UNK,UNK,O O B-Cost O O O O O O O O
Great. Book this for me. Thank You.,Gratitude,NA,NA,O O O O O O O
205,,,,
"Hello, I've come to purchase a laptop for my son.",LaptopSelReq,Brand-UNK,UNK,O O O O O O O O O O
I've seen a lot of Lenovo commercials on television. Is it possible for you to show me some of the models?,Request,Brand-Lenovo,Lenovo,O O O O O B-Brand O O O O O O O O O O O O O O B-Model
"Yes, I'm willing to pay somewhere between 2000 and 3000 EUR.",Inform,Cost-UNK,UNK,O O O O O O O B-Cost O B-Cost O
Do you think it's a better option than Lenovo?,Request,Brand-Lenovo,Lenovo,O O O O O O O O B-Budget
What is the scale of the display?,Request,Size-UNK,UNK,O O O O O O B-Display
Could you tell me a little bit about the processor?,Request,Processor-UNK,UNK,O O O O O O O O O B-Processor
That sounds great!! What about the storage capacity?,Request,Storage-UNK,UNK,O O O O O O B-Storage O
What is the price range for it?,Request,Cost-UNK,UNK,O O O B-Cost O O O
Is that right price for this product? i don't think so,Request,NA,NA,O O O B-Cost O O O O O O O
Will I be qualified for a discount?,Request,Discount-UNK,UNK,O O O O O O O
That is impressive. I'm going to buy it. Thank you so much.,Gratitude,NA,NA,O O O O O O O O O O O O
206,,,,
"Hello there, I'd appreciate it if you could assist me.",PhoneSelReq,NA,NA,O O O O O O O O O O
My brother sent me a picture of a phone he wants me to purchase. Could you tell me which model it is?  https://drop.ndtv.com/TECH/product_database/images/662017104802AM_635_oppor11_db.jpeg?downsize=*:180&output-quality=80&output-format=webp,Request,Brand-UNK,UNK,O O O O O O O O O O O O O O O O O O O B-Model O O O
Is this an excellent phone?,Request,NA,NA,O O O O O
That is fantastic!,Gratitude,NA,NA,O O O
Oh my goodness!! I really like taking photographs.,Gratitude,NA,NA,O O O O O O O O
"It does, though, have features that go beyond and above my standards. What about storage space on the inside?",Request,Storage-UNK,UNK,O O O O O O O O O O O O O O B-Storage O O O O
This would be better if it was in red color.,Request,Color-UNK,UNK,O O O O O O O O B-Colour O
I don't think that it will be the better option and i hate blue.,Feedback,NA,NA,O O O O O O O O O O O O O B-Colour
Is there a limit on how many Sim cards it will hold?,Request,Slots-UNK,UNK,O O O O O O O B-Sim O O O O
Excellent!! I'm not sure how much I'll have to spend.,Request,Cost-UNK,UNK,O O O O O O O O O B-Cost
Thank you so much for your support.,Gratitude,NA,NA,O O O O O O O
207,,,,
"Hello, I'm looking to purchase a good smartphone.",PhoneSelReq,Brand-UNK,UNK,O O O O O O O O
"No, i don't know. However, it may appear as follows:  https://drop.ndtv.com/TECH/product_database/images/1162014104045AM_635_moto_maxx.jpeg?downsize=*:180&output-quality=80&output-format=web",SuggestionReq,Brand-UNK,UNK,O O O O O O O O O O O
"After that, I'd like to learn more about it.",Request,NA,NA,O O O O O O O O O
If you know how much RAM it has?,Request,RAM-UNK,UNK,O O O O O B-RAM O O
I was wondering when it was first published.,Request,Release Date-UNK,UNK,O O O O O O O O
Could you give us a little more information about its features?,Request,Feature-UNK,UNK,O O O O O O O O O O O
Is it driven by the Android operating system?,Request,OS-Android,Android,O O O O O B-OS O O
What about the scale of the display?,Request,Display Size-UNK,UNK,O O O O O O B-Display
It is important that it has a strong camera.,Request,Camera-UNK,UNK,O O O O O O O O B-Camera
How much does this model cost?,Request,Cost-UNK,UNK,O O O O O B-Cost
The price doesn't fits for this product. it doesn't have something that could make it so expensive.,Feedback,NA,NA,O B-Cost O O O O O O O O O O O O O O O
That is all right. Please book in advance for me. Thank you so much.,Gratitude,NA,NA,O O O O O O O O O O O O O O
208,,,,
"Hello, will you please assist me?",PhoneSelReq,NA,NA,O O O O O O
I want this color https://fdn.gsmarena.com/imgroot/reviews/16/lenovo-phab2-pro/-347x151/gsmarena_101.jpg,Request,Color-UNK,UNK,O O O O O
If you have any idea what colour this is?,Request,Color-UNK,UNK,O O O O O O B-Colour O O
Do you already have a model like this?,SuggestionReq,Model-UNK,UNK,O O O O O B-Model O O
I'd like to learn more about the functionality of this model.,Request,Feature-UNK,UNK,O O O O O O O O O O B-Model
How about the RAM?,Request,RAM-UNK,UNK,O O O B-RAM
What is the performance of the camera?,Request,Camera-UNK,UNK,O O O O O O B-Camera
"So, how about computing capacity?",Request,Storage-UNK,UNK,O O O O O
"That is fantastic!!
This handset has a lot of useful features.",Gratitude,NA,NA,O O O O O O O O O O O
I'm not in a mood to buy it but if you convinced me i'll try to buy .,Request,NA,NA,O O O O O O O O O O O O O O O O O O
How much is it going to cost me?,Request,Cost-UNK,UNK,O O O O O O B-Cost O
That will not be a problem. I'm going to buy it. Thank you so much.,Gratitude,NA,NA,O O O O O O O O O O O O O O O
209,,,,
"Hello, Good morning.",Gratitude,NA,NA,O O O
I want to buy a phone which will fulfill my requirements.,PhoneSelReq,NA,NA,O O O O O O O O O O O
My first requirement is an excellent camera.,Request,Camera-UNK,UNK,O O O O O O B-Camera
I am looking for a phone below 500 EUR.,Inform,Budget-500,500,O O O O O O O B-Cost O
How much storage does it offer?,Request,Storage-UNK,UNK,O O B-Storage O O O
How much battery capacity does it offer?,Request,Battery-UNK,UNK,O O B-Battery O O O O
Just 3000mAh! It will not last entire day.,Reject,Battery-3000,3000,O B-Battery O O O O O O
I just don't think so. Is that true. Will it last entire day?,FeedbackReq,NA,NA,O O O O O O O O O O O O O
"Fine, I will consider your words. Can you tell me about its camera?",Request,Camera-UNK,UNK,O O O O O O O O O O O O B-Camera
"Oh, that is great. How much is it cost?",Inform,Cost-UNK,UNK,O O O O O O O O B-Cost
Do you have tablets too? I want one with really strong battery backup?,TabletSelReq,Battery-UNK,UNK,O O O O O O O O O O O B-Battery O
I think Lenovo will be good. I heard a lot about it.,Inform,Brand-Lenovo,Lenovo,O O B-Brand O O O O O O O O O
How much storage does it offer?,Inform,Storage-UNK,UNK,O O B-Storage O O O
Can you tell me about its battery?,Inform,Battery-UNK,UNK,O O O O O O B-Battery
How much is it for?,Inform,Cost-UNK,UNK,O O O O O
It is little expensive. It would have been great if it would cost 400.,Reject,Cost-400,400,O O O O O O O O O O O O B-Cost O
"OK, can you book both of the products for me?",BookingReq,NA,NA,O O O O O O O O O O
"No, Thanks a lot.",Close,NA,NA,O O O O
210,,,,
"Hello, I have been looking for a good camera. Do you have any camera which has extensive storage?",CameraSelReq,Storage-Extensive,Extensive,O O O O O O O O O O O O O O O O O B-Storage
I need a camera which is lightweight and captures pictures underwater.,Inform,Weight-Leightweight,Leightweight,O O O O O O O O O O O
Amazing! I would like to know more about the Agfa ePhoto CL30 Clik!,Request,"Brand-Afga, 
Model-ePhoto CL30 Clik!","Afga, ePhoto CL30 Clik!",O O O O O O O O O B-Brand B-Model O O
Will this support external MIC?,FeedbackReq,External mic-NA,NA,O O O O B-Mic
Tell me more about this product.,Request,Feature-UNK,UNK,O O O O O O
How much is it normal focus range and storage?,Request,"Normal FocusRange-UNK, 
Storage-UNK","UNK, UNK",O O O O O O B-FocusRange O B-Storage
Can you tell me which model is better?,FeedbackReq,NA,NA,O O O O O B-Model O O
But I want a camera with both good resolution and storage.,Inform,"Resolution-UNK, 
Storage-Good","UNK, Good",O O O O O O O O B-Resolution O B-Storage
How much is their cost?,Request,Cost-UNK,UNK,O O O O B-Cost
