USER,Persuasion Strategy
I want to purchase a ZTE phone. Do you have any?,0
I want one of the expensive model of this brand.,4
Tell me the price of all of these.,4
In which year were they launched?,4
I want to have one from the two launched in 2017 as they will have the latest features.,4
Tell me about the features of Axon 7s and nubia Z17.,4
Its much confusing to choose one. Both are excellent. Give me some time to choose.,4
I have decided to have a ZTE Axon 7s.,4
Okay. Book it for me.,4
Thanks a lot.,4
266,
Good morning.,0
I'm looking for a smatphone with a long lasting battery.,0
"Yes, 4000 mAh and above one will do. I have a budget of 500EUR.",3
What colour options are available in these models?,3
Tell me about camera of Sonim.,3
"No no, its not good. I can't have a phone with such a poor camera quality. Tell me about the camera of the other two.",3
How much RAM they have?,3
What is their price?,3
Book the Samsung for me.,3
Thank You.,3
267,
"Good morning, I am looking for a phone with good inbuilt memory.",0
"No, I don’t have any brand preferences.",0
The maximum amount of money I can spend is 700EUR.,0
How much internal RAM do they have?,3
Can you name the phones from Vivo.,3
I think Xplay6 is the latest version so tell me some features of it.,3
In which colour it is available?,3
How much does it cost?,3
It cost exactly the amount that I can spend.,3
"No, it is fine. I will take this. Book it for me.",3
Thank you so much.,3
268,
Good morning.,0
I want a phone with 6 GB RAM.,0
My budget is 500EUR.,0
I want it either of Xiaomi or Samsung.,0
Which one has a better camera?,3
Clearly Xiaomi is having a better camera. What are their internal storage?,3
Which of the two have a better screen?,3
Xiaomi wins in this also. I like the Xiaomi Mi 6.,3
Do you have any discount offer?,3
Thanks.Book it for me.,3
269,
"Good morning, I am a youtube vlogger and want a phone with good camera quality.",0
I am expecting to be under 250EUR.,0
I will be choosing the one with dual primary camera.,0
Which of these have more than 2GB RAM?,3
What are the megapixels of their secondary camera?,3
It seems very difficult to select one from all of these.,3
I think Huawei has a better camera. Tell me its other features.,3
It doesnot have a good battery. I wanted a phone with more than 3500mAh battery. But I can adjust with it,3
Please book it.,3
Thank you.,3
270,
Good morning.,0
I am sharing the link of a phone. Can you check if you have it or not?,0
https://drop.ndtv.com/TECH/product_database/images/219201632107PM_635_archos_diamond_2_plus.jpeg?downsize=*:180&output-quality=80&output-format=webp,0
What is its cost?,0
What are its other features?,3
What is its display size and weight?,3
It’s a bit heavy but with all these features it is compromisable.,3
Yes please.,3
Thanks.,3
271,
"Good morning, I want a Blackberry phone launched in recent years.",0
My budget is of 700EUR.,0
I which year they have been launched?,0
Good. Which is best among all these?,0
Can you tell me RAM of the latest launched models.,3
Tell me some other features of Aurora.,3
Its not intresting. Do you have any other phone with 4GB RAM from Blackberry?,3
What are its other features?,3
I would buy this. It is a very good phone.,3
Yes book it.,3
Thank You.,3
272,
"Good morning, Can you help me out?",0
Actually I want a phone for my younger brother.,2
He is very fond of gaming. I want a phone with good RAM.,2
I think 6GB RAM will be very good and the games will run very smoothly.,2
I'll have a look at Vivo first.,2
How much battery do they have?,2
This is not a good battery for gamers. Tell me about a phone with more than 5000mAh battery.,2
What are the other features of M6s Plus?,2
My brother will surely like it.,2
Yes book it for me.,2
Thank you.,2
273,
Hello.,0
I am looking for a phone under 100EUR.,0
What's the highest possible RAM in that budget?,0
Tell me about those models.,0
What are the other features of Coolpad Mega?,3
Its not much impressive. Tell me the features of Panasonic one.,3
This one has a better camera. How much does it cost?,3
Do you offer any discount?,3
Okay then book it for me.,3
Thanks a lot.,3
274,
Good Evening.,0
I am looking for a laptop.,0
Nowadays I am hearing a lot about Acer laptops.,0
I'd also like to have one. What screen sizes are available with you?,0
Which models are you having from this brand?,0
I'd like to have a 14inch screen size.,0
What all models of this series are available with you?,0
Which is most expensive among these?,4
What are its other features?,4
Book this one for me.,4
Thank you for helping me out.,4
275,
Good Afternoon.,0
I want a phone in white colour.,0
The phone must have a 4GB RAM.,0
I'll go for Huawei as it has more options.,0
Which one is the latest and which one is the most expensive among these?,4
It is too much expensive. I have a budget of 500EUR.,4
Tell me some of its features.,4
How much does it cost?,4
Please book it.,4
Thank You.,4
276,
Good morning.,0
Do you deal in Gionee phones?,0
I want Gionee M2017. Do you have it?,0
How much does it cost?,0
It’s a bit expensive. I was expecting it under 1000EUR. Do you give any discount on it?,1
Okay tell me its other specs.,1
What colour options are available with you?,1
Good. I was looking for a black variant.,1
Yes.,1
Thank you for your service.,1
277,
"Hello, I've been searching for a good camera for a while now. Is there a new model that has a lot of storage?",0
I'm looking for a camera that's small and can take pictures underwater.,4
It's incredible! I'm interested in learning more about the Agfa ePhoto CL30 Clik!,4
Is it possible to use an additional microphone for this?,4
And tell me a little more about this.,4
What is the difference between normal target range and storage?,4
Is the Agfa ePhoto CL45 a better choice than the Agfa ePhoto CL30 Clik?,4
What are their costs like?,4
Oh my goodness! There is a large price gap for them. The Agfa ePhoto CL30 Clik! is an expensive camera. I can't seem to find it.,4
I'm going to go for the Agfa ePhoto CL30 Clik! Since storage is a top priority for me.,4
Please continue with booking.,4
It is better.,4
Amazing. Thank you for your time and assistance.,4
278,
"Hello, I'm not going to purchase a camera.",0
I'd like to purchase a Canon PowerShot A300 camera.,3
Could you tell me anything about it?,3
Please make this booking for me.,3
"Yes, I'd like to purchase a smartphone as well.",3
"I need a phone with 4 GB of RAM, dual SIM capability, and an Oppo brand because I want good camera quality.",3
Please describe the features to me.,3
That's fantastic. What about the cost?,3
It's just too costly.,3
"No, thank you; I'll wait until the next price reduction.",3
I don't like anything other than a Canon PowerShot A300 camera.,3
Thanks for the assistance.,3
279,
"Hello, I'd like to purchase a tablet for myself.",0
"I'm not sure what the specifications are, but here's a link: https://tse2.mm.bing.net/th?id=OIP.jI5-hyDmoBxZp_7ftPZUWgHaHE&pid=Api&P=0&w=160&h=153",0
Is it a reputable brand?,1
Please describe the features to me.,1
"Oh, because it's very pricey.",1
Please set it aside and show me a laptop instead.,1
I'm just interested in Acer laptops.,1
"Yes, I'm looking for an i7 cpu.",1
This laptop costs between 4000 and 4500 euros.,1
Please describe the features to me.,1
Please book both the product.,1
280,
I'd like to purchase a laptop.,5
An i5 processor is what I'm looking for. As well as nvidia graphics.,5
"Yes, I just want Lenovo products only.",5
Please describe the features to me.,5
How much does it cost?,5
Is there no way to get a discount?,5
Can you offer me another for a lower price?,5
Still I am unable to afford it. Please show me something more.,5
But I'd like a nvidia i5 cpu.,5
"However, the cost is excessive. After that, I'll have to wait for the next price reduction.",5
No thanks,5
281,
"Hello, I am looking to buy a phone for myself.",0
I don't know the exact features. Here is the picture https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300,0
Is it a good brand?,1
Tell me about its features.,1
"Oh, it is pretty expensive.",1
"Okay, please keep it aside and show me a laptop.",1
I want a laptop of Acer brand only.,1
"Yes, I want an i7 processor.",1
This laptop is below 4000 EUR.,1
Tell me about its features.,1
Please book both the product.,1
No. Thank you.,1
282,
"Hello, I'm a photographer looking for a high-end camera.",0
"Ok, I'd like a resolution of over 3000 pixels.",3
It should cost  about 200 euros. ,3
Could you tell me anything about its features?,3
What about the cost?,3
Please put it on the side and show me a laptop.,3
"I'd like to buy a laptop, and it should come from Lenovo.",3
I'm looking for an Intel graphics i5 processor.,3
Could you please tell me something about its features?,3
What about the cost?,3
Do you have any exclusive offers?,3
"Okay, could you please book both of these items?",3
"No, Thank You for your help.",3
283,
"Good morning, can you assist me in purchasing a mobile with a good camera?",0
"I'm looking for something about 300 EUR, but please check for an ASUS brand.",3
What distinguishes it?,3
What a list of features it has.,3
It's a little pricey.,3
"So, please double-check this one. Do you sell a laptop as well?",3
An i3 processor with Intel graphics is what I'm looking for.,3
"Yes, please look at the range of 2000 EUR.",3
Do you have any exclusive offers?,3
Please describe the features to me.,3
Could you please book both of these items?,3
284,
"Hello there, For my daughter's online class, I'd like to get her a laptop.",0
"Yes, I'm interested in a Huawei MateBook D Volta.",3
Can you have any exclusive offers?,3
"Can you tell me about its capabilities, please?",3
"Okay, just put it down and show me a Canon camera.",3
I'd like a maximum resolution of over 4000 pixels.,3
Please describe the features to me.,3
How much does it cost?,3
I can't afford it because it's too costly.,3
"However, only the Huawei MateBook D Volta should be booked.",3
Thank you so much.,3
285,
I'm just looking for Acer laptops.,0
"Yes, I'm looking for an i7 cpu.",3
This laptop costs between 4000 and 4500 EUR.,3
Please describe the features to me.,3
Please reserve it.,3
I'd really like to purchase a mobile.,3
"I need a phone with 4 GB of RAM, dual SIM capability, and an Oppo brand because I want great camera quality.",3
Please describe the features to me.,3
That's fantastic. What about the cost?,3
It's just too costly.,3
"No, thank you; I'll wait until the next price reduction.",3
"No, I'm just interested in the Aspire 5 A515-54G.",3
Thanks,3
286,
"Good Evening, can you help us to buy a smartphone which has good camera quality?",0
"I want between 300 EUR, but please look from an ASUS brand.",4
What are its features?,4
"Wow, what about its price.",4
It's a bit expensive,4
"Okay, then, please confirm this one. Do you also sell a laptop?",4
"Yes, I want a Huawei MateBook D Volta",4
Don't you have any discounted price.,4
"Okay, can you tell me about its features?",4
"Okay, please book both the product.",4
No. Thank You.,4
287,
"Hello, I'm a photographer looking for a high-end camera.",0
"Yes, I'd like a maximum resolution of over 3000 pixels.",3
It should be in the range of 200 EUR.,3
Could you tell me anything about its characteristics?,3
What about the cost?,3
Please put it on the side and show me a laptop.,3
I'm just interested in Acer laptops.,3
"Yes, I'm looking for an i7 cpu.",3
This laptop costs  4000 euros.,3
Please describe the features to me.,3
Please book both the items.,3
"No, thank you.",3
288,
"Hello, I am looking to buy a phone for myself.",0
I do not know much about this phone. Here is the picture- https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300,0
Is it a good brand?,1
Tell me about its features.,1
"Oh, it is pretty expensive.",1
"Okay, please keep it aside and show me a tablet also for my sister.",1
"I don't know the exact features, buy here is the picture https://tse3.mm.bing.net/th?id=OIP.TKuExW5CRNsV6fpYLZBtTAHaIY&pid=Api&P=0&w=300&h=300",1
is it a good brand?,1
Tell me about its features.,1
"Okay, please book it for me.",1
Thank you,1
289,
"Hello, I'm searching for a camera to purchase for myself. ",0
Here is the picture    https://tse2.mm.bing.net/th?id=OIP.1pNnvVMHqBsg8FDsAjlHAQHaEx&pid=Api&P=0&w=267&h=173,0
Should I doubt this brand?,1
Please describe the features to me.,1
"Oh, because it's very pricey.",1
"I don't want to waste this much money, so I'm not going to buy it. Can you show me a similar one at a lower price?",1
Is there a price range of 200 EUR?,1
Tell me about its characteristics.,1
"Okay, make a booking for me and show me a phone.",1
I want the one from Gionee.,1
Please describe the features to me.,1
"Oh, because it's very pricey.",1
"Okay, that's it. This one is also worth booking.",1
No. Thank you for your assistance.,1
290,
"Hello, I'm looking for a laptop.",0
This is what I'm looking for: https://tse2.mm.bing.net/th?id=OIP.pECCv2VVGJWU_E4PbRovxAHaFj&pid=Api&P=0&w=201&h=152,0
Lenovo is a company that makes computers. Is it a reputable brand?,1
"So, tell me about the features of it.",1
Tell me how much disc space it has.,1
What about the cost?,1
Is there some way to get a deal on this?,1
Please show me another laptop if you don't mind.,1
Please describe the features to me.,1
"Okay, please book this for me.",1
Thank you,1
291,
"Hello, I'm looking for a phone.",0
It should have the most storage space possible.,0
Gionee is what I'm looking for.,5
"So, tell me about its characteristics.",5
Tell me about the colour of it.,5
What about the cost?,5
Is there some way to get a discount on this?,5
Please bring me another phone if you don't mind.,5
Please describe the features to me.,5
"Okay, please make this booking for me.",5
Thank you,5
292,
"Good morning, I'm looking for a laptop with a screen larger than 16 inches.",0
"Almost all, including high-end games, needs its use.",0
"I previously used DELL laptops but was dissatisfied with their results, so this time I decided to use HP laptops.Isn't it good?",4
What is the scale of the display?,4
What kind of graphics card does it have?,4
On which processor is it running on?,4
How much disk space does it have?,4
What is the cost?,4
This laptop is perfect for me.,4
Yeah sure.,4
Thank You.,4
293,
I'm searching for a tablet this evening.,0
"Yes, it has to be either an Apple or a Samsung product.",3
I must be the most recent or have been released since 2014.,3
And let me know what their rates are.,3
What are the dimensions of their batteries?,3
What is their RAM capacity?,3
I'm not sure which of the two has 2 GB of RAM. Is there a difference in camera efficiency between them?,3
There isn't a huge gap. Allow me a few moments to think about this.,3
I will like to have iPad Pro.,3
Yes do kindly book.,3
Thank You.,3
294,
"Hello, I'm looking for a laptop.",0
It should have the most storage space possible.,0
I'm looking for Dell. But I'm not sure if it's a decent brand.,1
"So, tell me about its features.",1
What kind of graphics does it have?,1
What about the cost?,1
Is there some way to get a deal on this?,1
Please show me another laptop if you don't mind.,1
Please describe the features to me.,1
"Okay, please book this for me.",1
Thank you.,1
295,
Hello and good morning. Do you have Xiaomi handset.,3
Its battery capacity should have at least 4500mAh.,3
What are the dimensions of their batteries?,3
What is their RAM capacity?,3
Is there radio in them?,3
Oh! No. I am really looking for a phone with radio feature.,3
Sounds good. What is the Internal storage of the Mi Max and Mi Max 2?,3
Mi Max 2 is something I'd like to see.,3
Of course.,3
Thank you.,3
296,
"Hello, do you have any smartphones for sale?",0
Please help me in purchasing one. I'm looking for a black tablet with 4 GB of internal memory.,3
Please describe it's features to me.,3
"All of the components are of high quality, but the battery capacity is limited. You don't have a 4000 mAh battery, do you?",3
Which model do you suggest?,3
What are its features?,3
What about its price?,3
"Okay, I want to buy it.",3
"Yes, please book it for me.",3
Thank you.,3
297,
Good Morning. Do you have a camera?,0
"Great, I want one of the Canon model.",0
I want a good quality of focus range.,1
"Yes, please show me in between 200 EUR range.",1
Can you tell me about its features?,1
What about its storage?,1
Please tell me about its price.,1
I have doubt on this product.,1
"Okay, please book this product for me.",1
No. Thanks,1
298,
"Hello, do you have the phone for sale?",0
I'd like one with 4 GB of RAM and a black finish.,3
Please describe the features to me.,3
"All of the components are of high quality, but the battery capacity is limited. You don't have a 4000 mAh battery, do you?",3
It is in the range of 300 EUR.,3
Can you tell me about it's features?,3
Perfect! What about the cost?,3
"Okay, I'm interested in purchasing it.",3
I'd like to get a camera. In addition.,3
"Yes, I'm interested in the Canon brand.",3
I'm looking for a decent target set.,3
"Yes, please show me something in the 200EUR range.",3
Could you tell me more about its features?,3
Is it possible to store it?,3
Just let me know how much it costs.,3
Allow me a moment to think about this product.,3
"Okay, please book this product for me.",3
No.Thanks,3
299,
"Hello, do you have camera and phone for sale?",0
I'd like to purchase both a camera and a phone.,0
Please first show me a phone.,0
"Yes, I'd like to get a Samsung one.",0
I want my phone to have 4 GB of RAM and a decent camera.,1
Please describe the features to me.,1
It's camera is very low.,1
"Okay, book it for me and show the camera.",1
"Yes, I am interested in the Canon brand.",1
I'm looking for a high-quality focus range.,1
"Yes, please show me something in the 200 EUR scale.",1
Could you tell me about its features?,1
What about it's storage?,1
Just let me know how much it costs.,1
I have my doubts about this commodity.,1
"Okay, please book this item for me.",1
"No, Thank you.",1
300,
Hello and good morning. I'd like to buy a camera.,0
I'm looking for an Epson brand.,0
Only show me the Epson camera that is the best.,1
Please show me something in the range of 300 EUR.,1
Please describe the features to me.,1
It is not enough for a photo shoot.,1
Thank you for recommendation but I just use Epson printers.,1
"Okay, feel free to demonstrate a Canon camera to me.",1
What distinguishes it?,1
"Wow, it has a lot of features at this price.Booking for me.",1
"No, Thank you.",1
301,
Hello and good morning. I'd like to look for a phone.,0
I want to be associated with the Motorola name.,0
Show me a Motorola phone with a decent camera and I'll be happy.,1
Please show me something in the range of 300 EUR.,1
"It's very expensive, and you don't have any kind of discount.",1
"Nonetheless, I am unable to afford it.",1
No Because I purchase Only the Motorola brand. It has my confidence.,1
"Okay, feel free to show me some another phone as well.",1
What distinguishes it?,1
"Wow, it has a lot of features for this price. Okay, book it for me.",1
No.Thank you.,1
302,
"Good morning, I'd like to purchase a laptop.",0
I want graphics with good quality.,0
"Yes, please look in the range of 2000 EUR.",5
"Sure, Lenovo is my favourait brand.",5
Which one is the best?,5
"Okay, then show me the laptop with the i5 processor.",5
Could you please describe the features to me?,5
No Not this one because I have trust on Nvidia graphics.,5
Tell me how much it costs.,5
"Still, I believe I will have to wait a while because the price of nvidia Graphics will decrease.",5
No. Thank you.,5
303,
Hello and good morning. Could you please show me phone?,0
"I'm not sure what the specifications are, but here's what I'm looking for:  https://drop.ndtv.com/TECH/product_database/images/samsung_galaxy_s6_edge_plus_3_2867_480X960_916201532445PM.jpg?downsize=*:180&output-quality=80&output-format=webp",2
Tell me features about it.,2
What is the cost?,2
Please make a booking for me.,2
"Yes, I'm still interested in a Fujifilm FinePix F810 Zoom sensor.",2
"Okay, tell me all features about it.",2
What is the weight of it? Is it easy to carry?,2
"Okay, could you please book both items for me?",2
Thank you.,2
304,
Hello and good morning. Could you kindly show phones to me?,0
I'd like to purchase a camera as well as a smartphone.,0
Please first show me a phone.,0
"Yes, I'm interested in the Samsung variant.",4
I want a phone with 4 GB of RAM and a decent camera.,4
Please describe features to me.,4
"Okay, tell me how much it costs.",4
"Okay, make the booking for me and show me the camera.",4
"Yes, I'm interested in a Fujifilm FinePix F810 Zoom sensor.",4
"Okay, tell me about it.",4
What is the weight of it? Is it portable?,4
"Okay, could you please book all items for me?",4
Thank you.,4
305,
Hello there! I'd like to purchase a laptop.,0
Graphics need to be a good quality.,0
"I don't have any particular brands, but please look in the range of 2000 EUR.",0
Which one is the best?,3
"Okay, then show me the laptop with the i5 cpu.",3
Could you please describe the features to me?,3
Wait. Nvidia graphics are what I'm looking for.,3
Tell me how much it costs.,3
"Okay, make a booking for me.",3
"Display me a phone, please.",3
"Yes, I'm interested in the Samsung edition.",3
I want a phone with 4 GB of RAM and a good-quality camera.,3
Please describe the features to me.,3
"Okay, tell me how much it costs.",3
Okay. Please book it for me.,3
No. Thank you.,3
306,
Hello and good morning. I'm looking for an XOLO smartphone.,0
It must be in the range of 150-200 EUR.,4
What kind of models are they?,4
One of these has a battery capacity greater than 2500mAh?,4
How much RAM do they have?,4
How much do the three of them cost?,4
Tell me about the camera they have.,4
The Q1000s appeal to me.,4
"Yes, please proceed to book it for me.",4
Thank you.,4
307,
Hello and good morning. I'd like to purchase a smartphone. Will you able to assist me?,0
Please show the phone to me.,0
What are the features that it posses?,0
"Wow, it has a lot of features for the price. Please make a booking for me.",0
"Yes, please show  me.",0
"Yes, please show  me. But I'm not sure if it's a decent brand.",0
"Okay, tell me about its characteristics.",0
What a set of graphics.,0
What about the cost?,0
Please book both the items.,0
Thank you.,0
308,
Hello and good morning. I'd like to purchase a laptop. Will you able to assist me?,0
This is what I'd like. Here's how it looks: https://tse2.mm.bing.net/th?id=OIP.pECCv2VVGJWU E4PbRovxAHaFj&pid=Api&P=0&w=201&h=152.,2
Lenovo is a company that makes laptops. Is it a reputable brand?,2
"Okay, tell me about its characteristics.",2
Tell me how much disc space it has.,2
What about the cost?,2
Is there some way to get a deal on this?,2
"Okay, let's get this party started. This product is ideal for me.",2
"Okay, just show me an Oppo phone.",2
What distinguishes it?,2
"Wow, it has a lot of features for the price.  For me, please make a booking for both the products.",2
No. Thank you.,2
309,
Hello and good morning. Will you able to assist me?,0
I'd like to purchase a camera as well as a tablet.,0
"Display me a phone, please. First and foremost.",0
"Yes, I'm interested in the Samsung model.",5
I want a phone with 4 GB of RAM and a decent camera.,5
Please describe the features to me.,5
"Okay, tell me how much it costs.",5
"OK, make a booking for me and show me the camera.",5
I'm looking for an Epson brand.,5
Only show me the Epson camera that is the best.,5
Please show me something in the range of 300 EUR.,5
Please describe the features to me.,5
Is it appropriate for a photo shoot?,5
"OK, book both products for me.",5
Thank you.,5
310,
"Hello, I'm looking to purchase a camera. Please demonstrate the right camera to me.",0
"I'd like to buy a camera for my brother, who is a travel photographer, but I'm not sure where to start. Please assist me because I am unfamiliar with the requirements.",2
"My brother only uses Canon products, and it should have the highest possible resolution.",2
It is in the range of 200 EUR.,2
Please describe the features to me.,2
"OK, please pack it for me and bring me a phone.",2
"Not really, but I'd like a phone with 4 GB of RAM, a gold colour, and a good camera.",2
It is in the range of 200 EUR.,2
Tell me about the specifics.,2
"Yes, please make a booking of both items for me.",2
311,
Hello and good morning. Will you able to assist me?,0
I'd like a phone as well as a laptop.,0
"First, I'd like to see the laptop.",0
An i5 processor with Nvidia graphics is what I'm looking for.,3
Tell me about the specifics.,3
How about the storage capacity?,3
Just let me know how much it costs.,3
Is there no way to get a discount?,3
"Nonetheless, it is prohibitively costly.",3
"Even, please show me something more.",3
"Ok, please show a price range of 2000 EUR.",3
Please describe the features to me.,3
"OK, please book it for me.",3
Thank you.,3
312,
"Hello, could you please show me a camera?",0
I'm looking for an Epson brand.,4
Only show me the Epson camera that is the best.,4
Please show me something in the range of 300 EUR.,4
Please describe the features to me.,4
Is it appropriate for a photo shoot?,4
"OK, please reserve this item for me.",4
I want to purchase a laptop.,4
This is what I'm looking for: https://tse2.mm.bing.net/th?id=OIP.pECCv2VVGJWU E4PbRovxAHaFj&pid=Api&P=0&w=201&h=152.,4
Lenovo is a company that makes computers. Is it a reputable brand?,4
"Okay, tell me about its features.",4
Tell me how much disc space it has.,4
What about the cost?,4
Is there some way to get a deal on this?,4
Just Epson PhotoPC L-400 should be booked.,4
Thank you.,4
313,
Hello and good morning. Could you please assist me?,0
I'd like to purchase a camera.,0
"Ok, I'd like 32 GB of storage and a maximum resolution of over 2000 pixels.",3
Tell me about the rest of the features.,3
What about the cost?,3
Please make this reservation for me.,3
I'm looking for a Coolpad Note 5 smartphone.,3
And tell me all about it.,3
What colour is it?,3
Please make a booking for me.,3
"No, just the Coolpad Note 5 should be booked.",3
Thank you.,3
314,
Hello there! I'd like to purchase a camera.,0
"I'm not sure what the exact specifications are, but here's a link: https://tse2.mm.bing.net/th?id=OIP._cVNcHCSWwbFCtERyYJUjAAAAA&pid=Api&P=0&w=300&h=300.",4
It is very expensive.,4
Please show me a phone because I don't want it because it's too expensive.,4
"I'm not sure about the specific features, but I saw one phone somewhere and it appealed to me. https://cdn. ndtv.com/tech/images/gionee_marathon_m5_mini.jpg",4
Is it a reputable brand?,4
Please describe the features to me.,4
"Oh, because it's very pricey.",4
"I don't want to waste this much money, so I'm not going to buy it. Can you show me a similar one at a lower price?",4
If you have any white mobile in the 250 EUR range from various brands?,4
Tell me about its characteristics.,4
"OK, please book it for me.",4
"No, Thanks.",4
315,
"Hello, I saw one of my neighbours' intelligent phone. Can you help me with the specifics?",0
Lenovo is the manufacturer. I'm giving you the photo because I'm not sure what model it is. https://drop.ndtv.com/TECH/product_database/images/lenovo_vibe_p1_database_ndtv_2925_480X960_1229201564818PM.jpg?downsize=*:180&output-quality=80&output-format=webp,3
What is the internal RAM size for this product?,3
It's fine. Could you please tell me what colours are available?,3
"Okay, What about the camera, for example?",3
Please make this booking for me.,3
One laptop is everything I want.,3
"Yes, I'd like an Intel Core i3-7020U processor and a 1TB hard drive.",3
What is the cost?,3
"OK, please book it also.",3
Thank you,3
316,
"Hey, do you have a camera that is in the middle of the price range?",0
I have a budget between 100 and 150 euros.,0
"It must have a high maximum resolution and, at the very least, a wide storage capacity.",5
What are measurements and weight?,5
"Wow, that's much too often. You don't have a lot of storage space, do you?",5
What is the cost?,5
"Okay, so you have a laptop as well?",5
One with a 14-inch touchscreen and an Intel processor should be seen.,5
I'd like a lot of computing space. It can come with a 512 GB SSD.,5
"According to what I've read, Dell, Acer, and Apple are all decent brands. Then I'd choose it. And, of course, show me at a reasonable cost.",5
How much is it going to cost me?,5
Please offer me a discount.,5
"I'll take these two from you, fair enough. Complete the billings.",5
Thank you so much.,5
317,
"Hello, do you have any laptops in the mid-range price range?",0
I'd pay between 2000-3000. Is it possible to get a decent laptop for this price?,0
It must have a broad display screen and the best possible score.,1
What is the name of the brand?,1
Can you tell about the graphics card and processor?,1
"Wow, it has a lot of storage space.",1
"No, that's plenty. How much is it going to cost me?",1
"Please, Give me some discount.",1
"Do you still sell smartphones, then?",1
Show one with a long battery life and a lot of internal RAM.,1
I want a large monitor and a lot of RAM.,1
I've heard that the Blackberry brand is a strong one. Then I'd choose it.,1
What is the cost?,1
"I'll take these two from you, fair enough. Please do the booking.",1
Thank you so much.,1
318,
"Hello, may you assist me in purchasing a smartphone?",0
It should be a dual-sim 4G handset.,0
Only the Gionee Brand has my trust. Is it possible for you to show me some from Gionee?,5
What colour is it?,5
"This is the colour I want it to be.
https://rukminim1.flixcart.com/image/416/416/je09ua80/mobile/e/s/j/gionee-s6-pro-s6-pro-original-imaf2shkbxgpvdmh.jpeg?q=70",5
What other functionality should it have?,5
"If you need more RAM, check out the phone with 8 GB of RAM.",5
What is the cost?,5
Will it take a decent photo?,5
"Okay, that will suffice. Could you kindly take care of the billing? Also, please have a discount.",5
"So, please continue with the invoice.",5
Thank you so much.,5
319,
Good morning. I've been looking for a decent camera for quite some time. Could you please help me out?,0
"As a photographer, I need a camera capable of producing high-resolution photographs.",3
It also has a long battery life and a broad target spectrum.,3
"So, how do they fare in terms of effective pixels?",3
"No, it's not about the cost. I'm afraid I'll have to buy it. How much does it cost?",3
"So, let's get to work on the invoice. Do you sell smartphones as well?",3
"Show one with a long battery life, a lot of internal memory, and dual 4G sims.",3
What exactly is the scoring system?,3
"So, how far does it set you back?",3
What exactly are you referring to? Why is the cost so high? Please begin with the billing for the cameras.,3
That's what there is to it. Create a reservation as well.,3
No. Thanks for the assistance.,3
320,
If you have any laptops?,0
"Prior to that, I was only curious if there was a discount on any of the models?",0
"As a visual artist, I like high-quality graphics. Show me an Asus model that is fine.",3
"No, I don't give a damn about anything else. Is the Asus model a decent one?",3
"So, which of the Asus models is the best?",3
Are you certain it's the right option?,3
Excellent!! Is there any other feature?,3
"What about the discount, you mentioned?",3
That's excellent. Thank you so much.,3
321,
Good day. Is it possible for you to assist me in purchasing a suitable phone?,1
"I'm a fashion blogger, so having a decent camera is extremely important to me.",1
I'd like a large monitor. as well as a large amount of internal storage,1
"No, any brand with a decent camera would suffice for me.",1
"After much consideration, I've decided that using a smartphone is the wisest option.",1
"Yes, it's a platform that can be used for a variety of things.
I can take an image, edit it, and upload it all at the same time.",1
"It's one of Samsung's best-selling items, which I have.",1
"Samsung is also to blame for this. For a long time, I've been a Samsung fan, but now I'd like to branch out and try some other brands.",1
"Really, you've made a valid case. I believe I should reconsider my position.",1
My elder sister and I would like to talk about it.Thank You for the information.,1
322,
"Good morning, I'd like to ask you a question.",0
I'm looking for a mobile and need your guidance.,0
In terms of purchasing.,0
My only requirement is that the colour be anything I want.,4
It's distinct. That's a colour I'm not familiar with.,4
I have a resource connection for you. Will it suffice?,4
"https://media.croma.com/image/upload/f_auto,q_auto,d_Croma%20Assets:no-product-image.jpg,h_350,w_350/v1605110756/Croma%20Assets/Communication/Mobiles/Images/8811666898974.jpg",4
Oh my goodness!! Do you have it in the stock right now?,4
"Yes, absolutely.",4
That's fantastic!! What about the storage on the inside?,4
I want to buy it. Thank you.,4
323,
"Hello, I'm looking to purchase a Samsung smartphone.",4
The Samsung Galaxy S7 active. That's the one I'm searching for.,4
"My teammates, on the other hand, are still boasting about it.",4
But I wanted to take a look.,4
Is there a nice camera on it?,4
What is the weight of it?,4
This model has a lot of potential. What's up with that?,4
What colour do you have it in? I like the colour black.,4
That's not going to fit for me. Just black phones are used by me. That's how I roll.,4
"No, it's not true. This is everything I'd like to see in black. It's all right. I'll hold off before the black one arrives. Thank you so much for your support.",4
324,
"Do you have a mobile, good afternoon?",0
Any would suffice.,5
Any low-cost phone with adequate features would suffice.,5
About 200-250 EUR.,5
"No, there isn't anything like that.",5
Are you certain that this is a decent phone?,5
That is an excellent purchase. How much does it cost?,5
What colour scheme do you have in mind for the model?,5
What is gold? I'm not sure if this is the colour for my phone that I need.,5
"Yes, I'd like to take a look.",5
"It really looks fine, which I wasn't expecting. It appeals to me.",5
Thank you for your help.,5
325,
"Hi, do you have smartphones?",0
"Actually, I am very particular about what I want.",4
"Vivo V5s, That is my choice.",4
"No, I am aware that it has great features That is why I want to buy this one.",4
I had already expected this much. Seal the deal.,4
